Job,Company,Location,Publication date,Company's rate
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Business analyst / ux,Dawex,Lyon (69),1,Not specified
Analyste / chargé de projets f/h - alternance,Groupe Covéa,Tours (37),1,"['3,3']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Business analyst / ux,Dawex,Lyon (69),1,Not specified
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Raud analyst,Lydia App,Paris (75),1,Not specified
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Business analyst,Jobopportunit,Toulon (83),1,Not specified
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Analyste conformite,Française Des Jeux,Boulogne-Billancourt (92),1,"['4,1']"
Analyste quantitati,Cic,Paris (75),1,"['3,8']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Analyste marketing,Villages Clubs Du Soleil,Marseille (13),1,"['4,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Business analyst,Cti - Angers,Angers (49),1,Not specified
Analyste de la performance - paris - 2020,Mazars,Courbevoie (92),1,"['3,7']"
Mission freelance bagneux - business analyst,Upway.Io,Bagneux (92),1,Not specified
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Salesforce crm business analyst,Viseo,Aix-en-Provence (13),1,"['3,3']"
Chargé(e) d’études rh (h/f) / hr analyst – cdi (m,Allianz Partners,Paris (75),1,"['3,9']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Analyste marché obligataire,Amf,Paris (75),1,"['3,3']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Stage assistant data analyst marketing fidélisation,Eni Gas & Power France,Levallois-Perret (92),1,Not specified
Data engineer,Not specified,35 - Rennes,1,Not specified
Cdi - ingénieur big data,Not specified,92 - Nanterre,1,Not specified
Data analyste performance,Not specified,"Come Together
 - 59 - Lille",1,Not specified
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Leader technique data center,Not specified,"Wemoov
 - 79 - Niort",1,Not specified
Data analyst - green panda games (f/m,Ubisoft,Montreuil (93),1,"['3,9']"
Analyste décisionnel - business intelligence,Not specified,"Menway Talents
 - 59 - Lille",1,Not specified
Analyste de données,Not specified,59 - Marcq En Baroeul,1,Not specified
Alternance - data analyst/marketing -,April,Lyon 3e (69),1,"['3,4']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Data engineer,Not specified,75 - Paris 10,1,Not specified
Data analyste,Not specified,"Fed It
 - France",1,Not specified
Cdd business analyst,Nestle,Paris (75),1,"['4,2']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
"Analyste risk data quality f/h - direction gestion, finance",Not specified,"Psa Banque
 - 78 - Yvelines",1,Not specified
Business / data analyst (h/f) – stage,Auto1 Group France,Issy-les-Moulineaux (92),1,"['3,9']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Data analyst,Leaseplan France,Rueil-Malmaison (92),1,"['3,9']"
Data analyst,Stedy,Issy-les-Moulineaux (92),1,Not specified
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Data analyst - green panda games (f/m,Ubisoft,Montreuil (93),1,"['3,9']"
Analyste décisionnel - business intelligence,Not specified,"Fed It
 - 69 - Bron",1,Not specified
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Data analyst h/f - stage - axa partners - nanterre (92,Ap Credit Life Protection,Nanterre (92),1,Not specified
Data scientist f/h - maîtrise d'ouvrage et fonctionnel,Not specified,"Bial-R
 - 78 - Yvelines",1,Not specified
Assistant data analyst en alternance,Howdens Cuisines,Lens (62),2,"['3,6']"
Cio office analyst,Tenon Recrutement,Paris 8e (75),2,Not specified
