Job,Company,Location,Publication date,Company's rate
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
"Data analyst / data scientist f/h - système, réseaux, données",Not specified,"Siderlog
 - 79 - Sèvres (Deux)",22,Not specified
"Data analyst - business intelligence f/h - administration, gestion, organisation",Not specified,"Bca Expertise Sas
 - 92 - Hauts De Seine",22,Not specified
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst sas power bi confirme / freelance,Infotel Conseil,Paris (75),22,"['3,4']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Charge de pilotage commercial f/h - direction commerciale et marketing,Not specified,"Ltd
 - 75 - Paris (Dept.)",22,Not specified
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Études et prospectives socio-économiques,Not specified,92 - Meudon,22,Not specified
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Alternance data analyst,Crédit Mutuel,Lyon (69),22,"['4,0']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Alternance data analyst,Crédit Mutuel,Lyon (69),22,"['4,0']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - business intelligence senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Data analyst - bi senior,Bca Expertise,Asnières-sur-Seine (92),22,"['3,1']"
Stagiaire web analyst junior -,Sarenza,Clichy (92),22,"['4,2']"
Analyste data et crm,Bouygues Telecom,Meudon (92),23,"['3,8']"
Analyste financier,Sanef,Issy-les-Moulineaux (92),23,"['4,0']"
Data analyst,Eex,Paris 2e (75),23,Not specified
Analyste data et crm,Bouygues Telecom,Meudon (92),23,"['3,8']"
Appr - bac+5- data engineer & analyst satisfaction client f/...,Renault,Le Plessis-Robinson (92),23,"['4,0']"
R compliance analyst emea,Intuitive,Bordeaux (33),23,Not specified
Data analyst (h/f) - alternance - boulogne (france,Cegedim,Boulogne-Billancourt (92),23,"['2,8']"
Data analyst,Not specified,"Ltd International
 - 75 - Paris 08",23,Not specified
Data analyst (h/f) - alternance - boulogne (france,Cegedim,Boulogne-Billancourt (92),23,"['2,8']"
Alternance - analyste data junior,Total,Nanterre (92),23,"['4,0']"
Data analyst,Not specified,"Sogia Systeme
 - 33 - Bordeaux",23,Not specified
Data business analyst,Not specified,"Pierre Et Vacances-Center Parcs
 - 75 - Paris (Dept.)",25,Not specified
Data analyst intern,Upfluence,Lyon (69),26,Not specified
Digital / web analyst (h/f) - cdi,Le Bon Marché,Paris (75),26,"['4,4']"
Regulatory operations analyst (f/m/d,Allianz Global Investors,Paris 2e (75),26,"['3,9']"
Business analyst / freelance,Linster Consulting,Blois (41),26,Not specified
Data analyst,We +,Saint-Antonin-sur-Bayon (13),26,Not specified
Lead data analyst,Betclic Group,Bordeaux (33),26,"['4,7']"
Mentor data science,Mentors Fr,Télétravail,26,Not specified
Business & data analyst,Izi Solutions,Paris (75),26,Not specified
Business data analyst - power bi,Cfao,Sèvres (92),26,"['4,0']"
Stage business analyst,Bouygues Telecom,Mérignac (33),26,"['3,8']"
Data analyst,We +,Saint-Antonin-sur-Bayon (13),26,Not specified
Data manager / data analyst,Soyhuce,Paris (75),26,Not specified
Stage business analyst – bi & business analytics,Ibanfirst,Paris (75),27,Not specified
Data analyst,Euronews,Lyon 2e (69),27,"['3,8']"
Stage 2 mois - analyste base de données,Astrazeneca,La Défense (92),27,"['4,1']"
Senior data analyst et auditeur it,Sefico Nexia,Paris (75),27,Not specified
Senior data analyst et auditeur it,Sefico Nexia,Paris (75),27,Not specified
Alternance - data analyst - master 1 ou 2 (ou equivalent) -...,Schneider Electric,Eybens (38),27,"['3,9']"
Pricing analyst international,L'Olivier Assurance,Paris 20e (75),27,"['4,0']"
Apprenticeship - 1 year - portfolio analyst (m/f) - paris,Natixis,Paris (75),27,"['3,5']"
"Data analyst f/h - système, réseaux, données",Not specified,"Euronews
 - 69 - Rhône",27,Not specified
Senior data analyst et auditeur it h-,Not specified,75 - Paris (Dept.),27,Not specified
Appr - bac+5 - business analyst interface erp-wms,Renault,Éragny (95),27,"['4,0']"
Data analyst,Euronews,Lyon 2e (69),27,"['3,8']"
Charge de mission clientele (data analyst) h/f (2020-6053,Not specified,"Edf France
 - 973 - Cayenne",28,Not specified
"Data analyst f/h - test, essai, validation, expertise",Not specified,"Webhelp France
 - 71 - Saône Et Loire",28,Not specified
Web-digital analyst,Web Transition,Paris (75),28,"['3,7']"
Senior data analyst f/h - projets scientifiques et techniques,Not specified,"Harnham
 - 75 - Paris (Dept.)",28,Not specified
Developpeur data analyst f/h - informatique de gestion,Not specified,"Omniciel
 - 13 - Bouches Du Rhône",28,Not specified
Stage - data analyst / data scientist (+prime de résultat,T&S Consulting,Montpellier (34),28,Not specified
Alterant h/f business analyst,Veolia,Paris (75),28,"['3,6']"
Scheduler,C3/Customercontactchannels,Bonifacio (2A),28,Not specified
Data analyst,Not specified,76 - Le Petit Quevilly,28,Not specified
Consultant data junior,Not specified,"Synergy France
 - 75 - Paris 08",28,Not specified
Senior data analyst - fintec,Harnham,Paris (75),28,Not specified
Web-digital analyst,Web Transition,Lille (59),28,"['3,7']"
Technicien analyste,Farmea,Angers (49),28,"['3,8']"
Data analyst sas power bi confirme,Not specified,75 - Paris 11,28,Not specified
Business analyst saas,Content Square,Paris (75),28,"['5,0']"
Senior data analyst,Harnham,Paris 9e (75),28,Not specified
Data analyst,Webhelp France,Montceau-les-Mines (71),28,Not specified
Consultant data senior,Not specified,"Synergy France
 - 75 - Paris 08",28,Not specified
Business analyst décisionnel –sas - blois,Acial,Blois (41),29,"['3,0']"
Stage merchandise planning / business analyst retail,Bijoux Connection,Montpellier (34),29,Not specified
Stage merchandise planning / business analyst retail,Bijoux Connection,Montpellier (34),29,Not specified
Data engineer - transavia,Air France-Klm,Paray-Vieille-Poste (91),29,"['4,1']"
Stage merchandise planning / business analyst retail,Bijoux Connection,Montpellier (34),29,Not specified
Stage merchandise planning / business analyst retail,Bijoux Connection,Montpellier (34),29,Not specified
Stage merchandise planning / business analyst retail,Bijoux Connection,Montpellier (34),29,Not specified
Icloud drive - bug triage engineer and analyst,Apple,Paris (75),29,"['4,2']"
Stage merchandise planning / business analyst retail,Bijoux Connection,Montpellier (34),29,Not specified
Stage merchandise planning / business analyst retail,Bijoux Connection,Montpellier (34),29,Not specified
Icloud drive - bug triage engineer and analyst,Apple,Paris (75),29,"['4,2']"
Data scientist,Cdiscount,Bordeaux (33),29,"['3,6']"
Stage merchandise planning / business analyst retail,Bijoux Connection,Montpellier (34),29,Not specified
Stage merchandise planning / business analyst retail,Bijoux Connection,Montpellier (34),29,Not specified
Consultant data,Not specified,75 - Paris 09,29,Not specified
Data analyst,Crédit Agricole S.A.,Montrouge (92),30,"['3,9']"
Ekxel - biometrics analyst institution européenne,Ekxel It Services & Financial Engineering,Strasbourg (67),30,Not specified
Data analyst,Smacl Assurances,Niort (79),30,"['4,1']"
Stage d'analyste junior m&a débutant entre janvier et juille...,Lazard Ltd.,Paris (75),30,"['3,9']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Stage – business analyst datavisualisation-,Credit Du Nord,France,30,"['3,7']"
Data analyst,Taxis G7,Clichy (92),30,"['3,7']"
Stage 6 mois - data analyst - mars 2020,Astrazeneca,La Défense (92),30,"['4,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst – nantes,Nova Technology,Nantes (44),30,Not specified
Data analyst,Hts Consulting,Paris (75),30,Not specified
Data analyst,Diagnostica Stago,Asnières-sur-Seine (92),30,"['3,8']"
Ts data analyst - performance manager,Imerys,France,30,"['3,7']"
Opinion data analyst stagiaire,Angie,Paris (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Stagiaire data scientist - business analyst,Ceva,Bordeaux (33),30,"['3,5']"
Data analyst junior risque de fraude,Le Groupe La Poste,Limoges (87),30,"['3,8']"
Data business analyst ia,Not specified,"Bnp Paribas
 - 75 - Paris 01",30,Not specified
Ekxel - biometrics analyst for european institution in stras...,Ekxel It Services & Financial Engineering,Strasbourg (67),30,Not specified
Consultant data senior,Not specified,"Synergy France
 - 59 - Lezennes",30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst,Neo Soft,Lille (59),30,Not specified
Data analyst -,Free,Paris (75),30,Not specified
Data scientist junior,France Atelier,Seyssinet-Pariset (38),30,Not specified
Market intelligence director,Doctolib,France,30,"['4,0']"
Data analyste/spécialiste,Not specified,92 - Neuilly Sur Seine,30,Not specified
Atm optimization portfolio development & innovation manager,Airbus,Toulouse (31),30,"['4,2']"
Alternance - assistant actuaire et data analyst,Viasanté Mutuelle,Labège (31),30,"['3,7']"
Analyste/développeur bi - business objects,Le Groupe Gcf,Petersbach (67),30,Not specified
Data engineer,Doctolib,Paris (75),30,"['4,0']"
Project manager data - pharmaceutique,Cognizant,Lyon (69),30,"['3,9']"
Ead of artist data intelligence,Believe,Paris 17e (75),30,Not specified
Data analyst h/f - alternance,Groupe Meilleurtaux,Paris (75),30,Not specified
Data analyst,Intitek,Lyon (69),30,"['3,0']"
Stage - financement de projet d'infrastructure,Scor,Paris (75),30,"['3,4']"
Data analyst,Mutuelle Saint-Christophe,Paris (75),30,"['3,1']"
Investment solution junior analyst -,Gie Axa,Paris (75),30,"['3,9']"
Charge de mission clientele (data analyst,Edf,Cayenne (GF),30,"['4,1']"
Data analyst smart factory,Wesmart,Paris (75),30,Not specified
Digital data analyste,Not specified,79 - Niort,30,Not specified
Data analyst,Mfg Labs,Paris (75),30,Not specified
Alternant(e) - ingénieur data analyst,Sfr,Paris (75),30,"['3,6']"
Data analyst,Diagnostica Stago,Asnières-sur-Seine (92),30,"['3,8']"
Data analyst,Mutuelle Saint-Christophe,Paris (75),30,"['3,1']"
People & organization – analyst,Eight Advisory,Paris (75),30,"['4,0']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Digital data analyst,Groupe Pierre & Vacances - Center Parcs,Paris (75),30,"['3,8']"
Data analyst / data scientist,Ametix,Levallois-Perret (92),30,"['3,8']"
Opinion data analyst stagiaire,Angie,Paris (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Business data analyst (post bac) - contrat de professionnali...,Ey,France,30,"['4,0']"
Data analyst,Groupement Les Mousquetaires,Issy-les-Moulineaux (92),30,"['2,9']"
Alternance h/f data analyst- business object,Stmicroelectronics,Rousset (13),30,"['4,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Digital trading analyst,Dyson,Paris (75),30,"['3,5']"
Marketing analytics and customer behavior business intellige...,Amazon Eu Sarl (Fr),Paris (75),30,"['3,6']"
Analyste datamining,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Analyste quantitatif responsabilité civile -,Gie Axa,Paris 17e (75),30,"['3,9']"
Stage - ai policy & partnership,Axa Technology Services,Paris 17e (75),30,"['3,9']"
Ux researcher,Back Market,Paris (75),30,"['4,5']"
Technical business analyst (junior,Jicap-Performance,Paris (75),30,Not specified
Cdi-data analyst dtsi,Groupe Canal+,Issy-les-Moulineaux (92),30,"['3,5']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst,Hts Consulting,Paris (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Alternance – analyste/développeur big data,Bnp Paribas Personal Finance,Mérignac (33),30,"['3,9']"
Information & data analyst,Bmw,Montigny-le-Bretonneux (78),30,"['3,9']"
Responsable traitement / recette,Capency,Enghien-les-Bains (95),30,Not specified
Data analyst,Groupement Les Mousquetaires,Issy-les-Moulineaux (92),30,"['2,9']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Alternance - data analyst,Not specified,"Le Chiffre
 - 59 - Lille",30,Not specified
Alternance data analyst,Fortuneo,La Défense (92),30,"['3,3']"
Data scientist / experience analyst,Livementor,Paris (75),30,"['4,5']"
Data analyst,Not specified,69 - Lyon 02,30,Not specified
Business data analyst,Actimage,Strasbourg (67),30,"['3,2']"
Data analyst / developpeur,Not specified,44 - Nantes,30,Not specified
Data analyst,E.Leclerc,Ivry-sur-Seine (94),30,"['3,4']"
Data scientist analyst m,Danone,Paris (75),30,"['4,2']"
Data analyst,Sorex,France,30,"['3,5']"
Data analyst,Not specified,75 - Paris 01,30,Not specified
Analyste financier / business analyst,Enr'Cert,Paris 8e (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Consultant data junior,Key Performance Consulting (Kpc),Bordeaux (33),30,Not specified
Data analyst internship,Quantilia,Nice (06),30,Not specified
Data scientist / experience analyst,Livementor,Paris (75),30,"['4,5']"
Data analyst,Bouygues Telecom,Meudon (92),30,"['3,8']"
Data analyst,Not specified,75 - Paris (Dept.),30,Not specified
Data analyst,Cenisis,Rennes (35),30,Not specified
Bi - data analyst,Not specified,92 - Nanterre,30,Not specified
"Big data - cash management (chef de projet, managers de projet, pmo, business analyst...",Not specified,75 - Paris 11,30,Not specified
Data analyst,Not specified,"Nova Technology
 - 59 - Lille",30,Not specified
Lead data analyst,Not specified,Hauts-De-France,30,Not specified
Data analyst,Not specified,06 - Biot,30,Not specified
Data analyst,Not specified,"Projob Carrières
 - 75 - Paris 09",30,Not specified
Data analyst,Not specified,"Michael Page
 - Ile-De-France",30,Not specified
Digital data analyst,Not specified,"Pierre Et Vacances-Center Parcs
 - 75 - Paris (Dept.)",30,Not specified
Data analyst finance f/h - etudes socio-économiques,Not specified,"Fyte
 - 51 - Marne",30,Not specified
Apprenti(e) data analyst,Not specified,France,30,Not specified
Data analyst - meralliance,Not specified,"Meralliance
 - 29 - Quimper",30,Not specified
Consultant risk data analyst / data scientist,Deloitte,La Défense (92),30,"['4,0']"
Data scientist/data analyst,Lenova,Échiré (79),30,Not specified
Data analyst,E.Leclerc,Ivry-sur-Seine (94),30,"['3,4']"
Data analyst h/f - lille,Not specified,59 - Lille,30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst,Not specified,"Ais
 - 44 - Nantes",30,Not specified
Light data analyst,Akka Technologies,Toulouse (31),30,"['3,1']"
Data analyst  -,Not specified,"Free
 - 75 - Paris 08",30,Not specified
Data analyst,Talentpeople,Boulogne-Billancourt (92),30,Not specified
Data quality analyst senior,Betclic Group,Bordeaux (33),30,"['4,7']"
Alternance - assistant data analyst,La Banque Postale,Paris (75),30,"['3,8']"
Data analyst,Taxis G7,Clichy (92),30,"['3,7']"
Information & data analyst,Bmw,Montigny-le-Bretonneux (78),30,"['3,9']"
Analyste financier / business analyst,Enr'Cert,Paris 8e (75),30,Not specified
Research analyst,Fat & Associés,Toulouse (31),30,Not specified
Data analyst,Ogilvy,Paris (75),30,"['4,1']"
Data analyst junior (stage,Garantme,Paris (75),30,Not specified
Data analyst gcp,Mantu,Paris (75),30,Not specified
Bid manager data solution,Engie It,Saint-Ouen (93),30,"['3,7']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst,Not specified,"Exteam
 - 94 - Val De Marne",30,Not specified
Stagiaire data scientist - business analyst,Ceva,Bordeaux (33),30,"['3,5']"
Data analyst,Singulart,Paris (75),30,Not specified
Data analyst – la marketplace référente en france,Konekt,Paris 10e (75),30,Not specified
Data analyst,Bouygues Telecom,Meudon (92),30,"['3,8']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Bid manager data solution,Engie It,Saint-Ouen (93),30,"['3,7']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst,Sarenza,Clichy (92),30,"['4,2']"
Poste - ingénieur web / data analyst,Hadopi,France,30,Not specified
Business data analyst (post bac) - contrat de professionnali...,Ey,France,30,"['4,0']"
Data analyst,Diagnostica Stago,Asnières-sur-Seine (92),30,"['3,8']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Ts data analyst - performance manager,Imerys,France,30,"['3,7']"
Data analyst,Dta Ingenierie,Nantes (44),30,Not specified
Data scientist analyst m,Danone,Paris (75),30,"['4,2']"
Data analyst,G7,Clichy (92),30,"['3,2']"
Web analyst,Cdiscount,Bordeaux (33),30,"['3,6']"
Analyste financier / business analyst,Enr'Cert,Paris 8e (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst reliability,Psapeugeotcitroen,Vélizy-Villacoublay (78),30,"['4,0']"
Business data analyst,Actimage,Strasbourg (67),30,"['3,2']"
Data analyst,Sorex,France,30,"['3,5']"
Data analyst / scientist,Alltricks,Montigny-le-Bretonneux (78),30,"['4,0']"
Data scientist / data analyst,Ledger,Paris (75),30,Not specified
Data analyst,Nickel,Nantes (44),30,Not specified
Stage - data analyst junior,Axa Global Direct France,Suresnes (92),30,"['3,9']"
Data analyst / data scientist,Ametix,Levallois-Perret (92),30,"['3,8']"
Data analyst,Groupe Sturno,Avranches (50),30,Not specified
Data analyst intern,Adikteev,Paris (75),30,Not specified
Data analyst (stage,Fideliz,Paris 9e (75),30,Not specified
Data analyst internship,Quantilia,Nice (06),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyste,Tisseo Services,Gennevilliers (92),30,"['2,9']"
Data analyst,Linkfluence,Paris 9e (75),30,"['3,2']"
Data manager / data analyst,Digitick,Marseille (13),30,"['4,0']"
Data scientist analyst m,Danone,Paris (75),30,"['4,2']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Bid manager data solution,Engie It,Saint-Ouen (93),30,"['3,7']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Junior opinion data stagiaire,Angie,Paris 2e (75),30,Not specified
Analyste développeur bi,Actimage,Strasbourg (67),30,"['3,2']"
Business transformation analyst,Archer Daniels Midland Company,Morbihan,30,"['3,7']"
Bid manager data solution,Engie It,Saint-Ouen (93),30,"['3,7']"
Bid manager data solution,Engie It,Saint-Ouen (93),30,"['3,7']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Team manager data & ai (h/f) - bdx,Azeo Talents & Technology,Bordeaux (33),30,Not specified
Sales operations analyst,Talend,Suresnes (92),30,"['4,0']"
Data scientist h/f - niort,Maif,Niort (79),30,"['3,5']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Auditeur h/f 32-36k€,Fiteco,Caen (14),30,"['2,8']"
Tech talent recruteur (chief freelance officer,Cherry Pick,Paris (75),30,Not specified
[finance] business analyst market data,Meritis Finance,Paris (75),30,Not specified
Application designer,Iwe,Télétravail,30,Not specified
Data scientist marketing,Happn,Paris (75),30,Not specified
Retail credit risk analyst,Ing,France,30,"['4,0']"
Project manager data - pharmaceutique,Cognizant,Lyon (69),30,"['3,9']"
Data scientist,Finedigit,Paris (75),30,Not specified
Language or translation graduates - arabic or hebrew speaker...,Transperfect,Paris (75),30,Not specified
"Data engineer - developer & solution analyst (3d : digital,...",Caceis,Issy-les-Moulineaux (92),30,"['3,8']"
Smart weeding system digital analyst (w/m,Bayer,Lyon (69),30,"['4,2']"
Product analyst,Artur'In,Paris (75),30,Not specified
Junior social media analyst - chinese speaker,Linkfluence,Paris (75),30,"['3,2']"
Data labeller h/f (cdd - 4 mois minimum,Kayrros,Paris 9e (75),30,Not specified
Technical business analyst (junior,Jicap-Performance,Paris (75),30,Not specified
Data analyst (pfe,Actimage,Arcueil (94),30,"['3,2']"
Data analyst - business intelligence,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Portfolio analyst - big data f/h - stage 6 mois,Axa France,Nanterre (92),30,"['3,9']"
Data analyst expert,Crédit Agricole Nord De France,Lille (59),30,"['3,9']"
Analyste data,Science And Nature Laboratory Sas,Nueil-les-Aubiers (79),30,Not specified
Stage web analyst,Elysees Education Group,Paris 8e (75),30,"['1,7']"
Data analyst smart factory,Wesmart,Paris (75),30,Not specified
Business analyst sir,Aubay,Nantes (44),30,"['3,3']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data scientist h/f - be4897,Pro Btp Groupe,Vincennes (94),30,"['2,7']"
Analyste financier / business analyst,Enr'Cert,Paris 8e (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst,Stago,Asnières-sur-Seine (92),30,"['3,8']"
Consultant data scientist,Eversa,Neuilly-sur-Seine (92),30,Not specified
Business analyst m,Spie,France,30,"['3,5']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Stagiaire consultant data science,M13H,Paris (75),30,Not specified
Stage web analyst,Elysees Education Group,Paris 8e (75),30,"['1,7']"
Analyste data en contrat d'apprentissage,Teréga,Pau (64),30,Not specified
Data business analyst,Groupe Pierre & Vacances - Center Parcs,Paris (75),30,"['3,8']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst (pfe,Actimage,Arcueil (94),30,"['3,2']"
Analyste data quality management risques,La Banque Postale,Paris 6e (75),30,"['3,8']"
Analyste produit logiciel,Invoke Software,Nantes (44),30,Not specified
Business analyst salesforce,Spikeelabs,Nantes (44),30,Not specified
Alternance - 1 an - supply chain data analyst h/f - charento...,Natixis,Paris (75),30,"['3,5']"
Oresight analyst,Gie Axa,Paris (75),30,"['3,9']"
Insight analyst,Adot,Paris (75),30,Not specified
Data analyst / digital marketing internship,Urban Circus,Saint-Denis (93),30,Not specified
Kering total rewards analyst,Groupe Kering,Manche,30,"['3,6']"
Data engineer f/m,Danone,Saint-Ouen (93),30,"['4,2']"
Language data analyst - french speakers,Transperfect,Paris (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Stage - project portfolio analyst,Scor,Paris (75),30,"['3,4']"
Data analyst (w/m/d) - soziale netzwerke und drittplattforme...,Arte,Strasbourg (67),30,Not specified
Marketing analyst,Imerys,Paris (75),30,"['3,7']"
Data analytics teacher assistant (freelance mission,Ironhack,Paris 11e (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
"Apprentissage - data analyste, data management, bi",Dassault Systèmes,Vélizy-Villacoublay (78),30,"['4,0']"
Stage en modélisation financière,Pwc,Neuilly-sur-Seine (92),30,"['4,0']"
Auditeur h/f 32-36k€,Fiteco,Caen (14),30,"['2,8']"
Data scientist monetisation / fraude,Happn,Paris (75),30,Not specified
Pricing analyst international,L'Olivier Assurance,Paris 20e (75),30,"['4,0']"
Analyste data performance,Bouygues Telecom,Meudon (92),30,"['3,8']"
Data analyst marketing,Novencia,Paris (75),30,"['5,0']"
