,CommonName,Locomotion
116,Lavasoa_Dwarf_lemur,
117,Greater_Dwarf_Lemur,AR
118,Fat_tailed_Dwarf_Lemur,AR
119,Lesser_Iron_gray_Dwarf_Lemur,AR
120, Sheth's_Dwarf_Lemur,
121,Sibree_s_Dwarf_Lemur,AR
122,Thomas_s_Dwarf_Lemur,
123,Yellow_handed_Titi,AR
124,White_chested_Titi,AR
125,Medem_s_Titi,AR
126,Rio_Purus_Titi,AR
127,Rio_Juruá_Collared_Titi,AR
128,White_collared_Titi,AR
129,White_nosed_Bearded_Saki,AR
130,Rio_Negro_Beared_Saki,AR
131, Brown_backed_Bearded_Saki,
132,Guianan_Beared_Saki,AR
133,Black_Bearded_Saki,AR
134,Uta_Hick_s_Bearded_Saki,AR
135,Grivet_Monkey,T
136,Malbrouck_Monkey,T
137,Bale_Monkey,BOTH
138,Vervet_Monkey,T
139,Green_Monkey,T
140,Tantalus_Monkey,T
141,Angolan_Colobus,AR
142,Guereza,AR
143,King_Colobus,AR
144,Black_Colobus,AR
145,White_thighed_Colobus,AR
146,Aye_aye,AR
147,Patas_Monkey,T
148,Heuglin's_Patas_Monkey,
149,White_fronted_Brown_Lemur,AR
150,White_collared_Brown_Lemur,AR
151,Red_collared_Brown_Lemur,AR
152,Crowned_Lemur,AR
153,Blue_eyed_Black_Lemur,AR
154,Brown_Lemur,AR
155,Black_Lemur,AR
156,Mongoose_Lemur,AR
157,Red_bellied_Lemur,AR
158,Red_fronted_Brown_Lemur,AR
159,Rufous_Brown_Lemur,AR
160,Sanford_s_Brown_Lemur,AR
161,Southern_Needle_clawed_Galago,AR
162,Northern_Needle_clawed_Galago,AR
163,Somali_Lesser_Galago,AR
164,Spectacled_Lesser_Galago,AR
165,Southern_Lesser_Galago,AR
166,Northern_Lesser_Galago,AR
167,Kenya_Coast_Dwarf_Galago,AR
168,Demidoff_s_Dwarf_Galago,AR
169,Angolan_Dwarf_Galago,
170,Mozambique_Dwarf_Galago,AR
171,Mountain_Dwarf_Galago,AR
172,Rondo_Dwarf_Galago,AR
173,Thomas_s_Dwarf_Galago,AR
174,Tanzania_Coast_Dwarf_Galago,AR
175,Eastern_Gorilla,BOTH
177,Western_Gorilla,BOTH
178,Lac_Alaotra_Bamboo_Lemur,AR
179,Golden_Bamboo_Lemur,AR
180,Gray_Bamboo_Lemur,AR
181,Southern_Bamboo_Lemur,AR
182,Northern_Bamboo_Lemur,AR
183,Western_Hoolock_Gibbon,AR
184,Eastern_Hoolock_Gibbon,AR
185,Skywalker_Hoolock_Gibbon,
186,Abbott_s_Gray_Gibbon,AR
187,Agile_Gibbon,AR
188,Bornean_White_bearded_Gibbon,AR
189,East_Bornean_Gray_Gibbon,AR
190,Kloss_s_Gibbon,AR
191,Lar_Gibbon,AR
192,Moloch_Gibbon,AR
193,Müller_s_Gibbon,AR
194,Pileated_Gibbon,AR
195,Indri,AR
196,Gray_Woolly_Monkey,AR
197,Peruvian_Yellow_tailed_Woolly_Monkey,AR
198,Humboldt_s_Woolly_Monkey,AR
199,Colombian_Woolly_Monkey,AR
200,Poeppig_s_Woolly_Monkey,AR
201,Ring_tailed_Lemur,BOTH
202,Cruz_Limas_Saddle_back_Tamarin,AR
203,Spix_s_Saddle_back_Tamarin,AR
204,Lesson_s_Saddle_back_Tamarin,AR
205,Illiger_s_Saddle_back_Tamarin,AR
206,Red_mantled_Saddle_back_Tamarin,AR
207,Andean_Saddle_back_Tamarin,AR
208,Black_mantled_tamarin,AR
209,Geoffroy_s_Saddle_back_Tamarin,AR
210,Golden_mantled_Saddle_back_Tamarin,AR
211,Weddells_Saddle_back_Tamarin,AR
212,Black_faced_Lion_Tamarin,AR
213,Golden_headed_Lion_Tamarin,AR
214,Black_Lion_Tamarin,AR
215,Golden_Lion_Tamarin,AR
216,Antafia_Sportive_Lemur,AR
217,Tsiombikibo_Sportive_Lemur,AR
218,Ankarana_Sportive_Lemur,AR
219,Betsileo_Sportive_Lemur,AR
220,Gray_s_Sportive_Lemur,AR
221,Milne_Edwards_s_Sportive_Lemur,AR
222,Andohahela_Sportive_Lemur,AR
223,Anjiamangirana_Sportive_Lemur,AR
224,Mananara_Nord_Sportive_Lemur,AR
225,Zombitse_Sportive_Lemur,AR
226,Manombo_Sportive_Lemur,AR
227,White_footed_Sportive_Lemur,AR
228,Small_toothed_Sportive_Lemur,AR
229,Daraina_Sportive_Lemur,AR
230,Mittermeier_s_Sportive_Lemur,AR
231,Weasel_Sportive_Lemur,AR
232,Ambodimahabibo_Sportive_Lemur,AR
233,Petter_s_Sportive_Lemur,AR
234,Bemaraha_Sportive_Lemur,AR
235,Red_tailed_Sportive_Lemur,AR
236,Sahamalaza_Sportive_Lemur,AR
237,Masoala_Sportive_Lemur,AR
238,Seal_s_Sportive_Lemur,AR
239,Sahafary_Sportive_Lemur,AR
240,Nosy_Be_Sportive_Lemur,AR
241,Wright_s_Sportive_Lemur,AR
242,Gray_cheeked_Mangabey,AR
243,Northern_Black_Crested_Mangabey,AR
244,Johnston_s_Mangabey,AR
245,Southern_Back_Crested_Mangabey,AR
246,Rusty_mantled_Mangabey,AR
247,Ugandan_Crested_Mangabey,AR
248,Gray_Slender_Loris,BOTH & AR
250,Red_Slender_Loris,AR
251,Stump_tailed_Macaque,BOTH
253,Assamese_Macaque,AR
254,Taiwanese_Macaque,BOTH
255,Long_tailed_Macaque,BOTH & AR
257,Japanese_Macaque,BOTH & AR
259,Heck_s_Macaque,AR
260,Northern_Pig_tailed_Macaque,BOTH & AR
262,White_cheeked_Macaque,
263,Moor_Macaque,BOTH
264,Rhesus_Macaque,BOTH
265,Arunachal_Macaque,BOTH
267,Sunda_Pig_tailed_Macaque,BOTH
269,Crested_Macaque,T
270,Gorontalo_Macaque,AR
271,Booted_Macaque,BOTH
272,Pagai_Macaque,BOTH & AR
274,Bonnet_Macaque,BOTH
275,Siberut_Macaque,T & AR
277,Lion_tailed_Macaque,AR
