,CommonName,HomeRange_ha
139,Red_capped_Mangabey,247.4
140,Syke_s_Monkey,14.25
141,Red_tailed_Monkey,22.5
142,Campbell_s_Monkey,72.375
144,Moustached_Monkey,44.5
146,Dent_s_Monkey,
147,Diana_Monkey,63.0
149,Silver_Monkey,28.4
150,Dryas_Monkey,4.9
151,Red_bellied_Monkey,
152,Red_eared_Monkey,31.5
153,Owl_faced_Monkey,
154,Virungas_Golden_Monkey,67.0
155,Lesula,
156,Lowe_s_Monkey,14.5
158,Blue_Monkey,175.0
159,Mona_Monkey,3.0
160,De_Brazza_s_Monkey,7.0
161,Putty_nosed_Monkey,80.25
162,Spot_nosed_Monkey,89.375
164,Crowned_Monkey,100.0
165,Roloway_Monkey,189.0
166,Sclater_s_Monkey,25.0
167,Wolf_s_Monkey,
168,Montagne_d_Ambre_Dwarf_Lemur,
169,Crossley_s_Dwarf_Lemur,
170,Lavasoa_Dwarf_lemur,
171,Greater_Dwarf_Lemur,4.0
173,Fat_tailed_Dwarf_Lemur,1.56
174,Lesser_Iron_gray_Dwarf_Lemur,
175, Sheth's_Dwarf_Lemur,
176,Sibree_s_Dwarf_Lemur,6.4
177,Thomas_s_Dwarf_Lemur,
178,Yellow_handed_Titi,20.0
179,White_chested_Titi,14.2
180,Medem_s_Titi,
181,Rio_Purus_Titi,45.0
182,Rio_Juruá_Collared_Titi,
183,White_collared_Titi,20.0
185,White_nosed_Bearded_Saki,210.0
187,Rio_Negro_Beared_Saki,142.0
188, Brown_backed_Bearded_Saki,
189,Guianan_Beared_Saki,507.0
190,Black_Bearded_Saki,58.0
191,Uta_Hick_s_Bearded_Saki,100.0
193,Grivet_Monkey,54.30400000000001
198,Malbrouck_Monkey,
199,Bale_Monkey,15.2
200,Vervet_Monkey,25.0
201,Green_Monkey,160.5
202,Tantalus_Monkey,66.5
203,Angolan_Colobus,371.0
205,Guereza,15.45
207,King_Colobus,40.5
209,Black_Colobus,573.0
210,White_thighed_Colobus,48.0
211,Aye_aye,102.95
212,Patas_Monkey,2851.0
214,Heuglin's_Patas_Monkey,
215,White_fronted_Brown_Lemur,13.1
217,White_collared_Brown_Lemur,56.65
219,Red_collared_Brown_Lemur,58.65
221,Crowned_Lemur,7.53
223,Blue_eyed_Black_Lemur,5.28
224,Brown_Lemur,16.2
226,Black_Lemur,19.1
228,Mongoose_Lemur,2.85
230,Red_bellied_Lemur,19.0
232,Red_fronted_Brown_Lemur,22.06
234,Rufous_Brown_Lemur,97.5
236,Sanford_s_Brown_Lemur,14.0
238,Southern_Needle_clawed_Galago,6.7
239,Northern_Needle_clawed_Galago,2.5
240,Somali_Lesser_Galago,2.0
241,Spectacled_Lesser_Galago,
242,Southern_Lesser_Galago,2.8
244,Northern_Lesser_Galago,6.5
247,Kenya_Coast_Dwarf_Galago,1.95
248,Demidoff_s_Dwarf_Galago,1.6
249,Angolan_Dwarf_Galago,
250,Mozambique_Dwarf_Galago,2.5
251,Mountain_Dwarf_Galago,
252,Rondo_Dwarf_Galago,
253,Thomas_s_Dwarf_Galago,1.6
254,Tanzania_Coast_Dwarf_Galago,2.2
256,Eastern_Gorilla,3060.0
257,Western_Gorilla,1100.0
260,Lac_Alaotra_Bamboo_Lemur,2.0
262,Golden_Bamboo_Lemur,26.0
263,Gray_Bamboo_Lemur,20.0
265,Southern_Bamboo_Lemur,13.27
266,Northern_Bamboo_Lemur,26.0
267,Western_Hoolock_Gibbon,22.5
269,Eastern_Hoolock_Gibbon,93.0
271,Skywalker_Hoolock_Gibbon,
272,Abbott_s_Gray_Gibbon,
273,Agile_Gibbon,29.0
274,Bornean_White_bearded_Gibbon,53.0
276,East_Bornean_Gray_Gibbon,38.0
277,Kloss_s_Gibbon,33.3
278,Lar_Gibbon,55.0
281,Moloch_Gibbon,17.0
282,Müller_s_Gibbon,44.0
284,Pileated_Gibbon,36.0
285,Indri,18.0
287,Gray_Woolly_Monkey,1021.0
