,Scientific Names,CommonName,Region,Country,Average_Weight,DielActivity,Locomotion,Status,HomeRange_ha,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,TrophicGuild,Fruit,Leaves,Flowers,Seeds,Gums,Nectar,Animal,Insects,Other
81,Cercopithecidae Cercopithecus,Diana Monkey,North West Africa,CÃ´te dÂIvoire,4.5,D,AR,2,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
82,Cercopithecidae Mandrillus,Drill,North West Africa,Cameroon,15.0,D,BOTH,3,2750.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
83,Cercopithecidae Cercopithecus,Dryas Monkey,North West Africa,CÃ´te dÂIvoire,2.65,D,BOTH,4,4.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Cercopithecidae Trachypithecus,Dusky Langur,South East Asia,Bangladesh,6.99,D,AR,1,30.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Hylobatidae Hylobates,East Bornean Gray Gibbon,South East Asia,Borneo,5.5,D,AR,3,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
86,Hominidae Gorilla,Eastern Gorilla,West Africa,Congo,130.0,D,BOTH,4,3060.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
87,Hylobatidae Hoolock,Eastern Hoolock Gibbon,East Asia,China,7.2,D,AR,2,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Indriidae Avahi,Eastern Woolly Lemur,Madagascar,Madagascar,1.17,N,AR,2,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Cebidae Cebus,Ecuadorian White fronted Capuchin,South America,Brazil,2.19,D,AR,4,288.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Callitrichidae Saguinus,Emperor Tamarin,South America,Colombia,0.47,D,AR,0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Cheirogaleidae Cheirogaleus,Fat tailed Dwarf Lemur,Madagascar,Madagascar,0.17666666666666667,N,AR,0,1.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Cercopithecidae Trachypithecus,Francois s Langur,East Asia,China,7.52,D,BOTH,3,64.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Galagidae Sciurocheirus,Gabon Squirrel Galago,West Africa,Gabon,0.26,N,AR,0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
94,Cercopithecidae Theropithecus,Gelada,East Africa,Ethiopia,15.35,D,T,0,203.43,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Folivore,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,Callitrichidae Leontocebus,Geoffroy s Saddle back Tamarin,South America,Peru,0.36,D,AR,0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
