,Scientific Names,CommonName,Region,Country,Average_Weight,DielActivity,Locomotion,Status,HomeRange_ha,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,TrophicGuild,Fruit,Leaves,Flowers,Seeds,Gums,Nectar,Animal,Insects,Other
129,Cercopithecidae Rhinopithecus,Guizhou Snub nosed Monkey,East Asia,China,11.25,D,BOTH,3,3450.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Hylobatidae Nomascus,Hainan Crested Gibbon,East Asia,China,6.59,D,AR,4,781.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
131,Cheirogaleidae Allocebus,Hairy eared Dwarf Lemur,Madagascar,Madagascar,0.08,N,AR,2,25.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
132,Cercopithecidae Papio,Hamadryas Baboon,East Africa,Ethiopia,13.4,D,T,0,2800.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Cercopithecidae Trachypithecus,Hatinh Langur,South East Asia,Vietnam,7.275,D,BOTH & AR,3,225.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Cercopithecidae Macaca,Heck s Macaque,South East Asia,India,9.0,D,AR,2,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Cercopithecidae Presbytis,Hose s Langur,South East Asia,Indonesia,5.9,D,AR,2,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
136,Aotidae Aotus,Humboldt s Night Monkey,South America,Paraguay,0.77,N,AR,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
137,Cebidae Saimiri,Humboldt s Squirrel Monkey,South America,Brazil,0.88,D,AR,0,170.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Cebidae Cebus,Humboldt s White fronted Capuchin,South America,Brazil,2.74,D,BOTH,0,115.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Atelidae Lagothrix,Humboldt s Woolly Monkey,South America,Colombia,7.15,D,AR,2,440.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
140,Callitrichidae Leontocebus,Illiger s Saddle back Tamarin,South America,Peru,0.29,D,AR,0,16.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Cercopithecidae Trachypithecus,Indochinese Gray Langur,South East Asia,India,6.65,D,AR,3,83.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
142,Indriidae Indri,Indri,Madagascar,Madagascar,6.34,D,AR,4,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
143,Cercopithecidae Macaca,Japanese Macaque,East Asia,Japan,9.5,D,BOTH & AR,0,23.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
144,Cercopithecidae Presbytis,Javan Langur,South East Asia,Indonesia,6.7,D,AR,3,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
145,Lorisidae Nycticebus,Javan Slow Loris,South East Asia,Java,0.66,N,AR,4,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Gummivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Cebidae Cebus,Ka apor Capuchin,South America,Brazil,2.7,D,AR,4,62.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
147,Galagidae Galagoides,Kenya Coast Dwarf Galago,East Africa,Kenya,0.14,N,AR,0,1.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Cercopithecidae Colobus,King Colobus,North West Africa,Cameroon,9.1,D,AR,2,40.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Cercopithecidae Rungwecebus,Kipunji,East Africa,Tanzania,10.0,D,AR,4,306.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
150,Hylobatidae Hylobates,Kloss s Gibbon,South East Asia,Indonesia,5.8,D,AR,3,33.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
151,Cercopithecidae Allochrocebus,L Hoest s Monkey,West Africa,Congo,5.0,D,T,2,116.6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Omnivore,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
152,Lemuridae Hapalemur,Lac Alaotra Bamboo Lemur,Madagascar,Madagascar,1.24,CA,AR,4,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Folivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
153,Hylobatidae Hylobates,Lar Gibbon,South East Asia,Indonesia,5.64,D,AR,3,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Cebidae Sapajus,Large headed Capuchin,South America,Brazil,3.05,D,AR,0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Aotidae Aotus,Lemurine Night Monkey,South America,Colombia,0.89,N,AR,2,4.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Cercopithecidae Macaca,Lion tailed Macaque,South East Asia,India,7.5,D,AR,3,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
157,Cercopithecidae Macaca,Long tailed Macaque,South East Asia,Indonesia,4.03,D,BOTH & AR,0,157.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
158,Cercopithecidae Cercopithecus,Lowe s Monkey,West Africa,Congo,3.9,D,AR,0,14.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
159,Aotidae Aotus,Ma s Night Monkey,South America,Brazil,0.79,N,AR,2,9.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Cheirogaleidae Microcebus,Madame Berthe s Mouse Lemur,Madagascar,Madagascar,0.03,N,AR,3,3.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Pitheciidae Plecturocebus,Madidi Titi,South America,Bolivia,0.95,D,AR,0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Cercopithecidae Semnopithecus,Malabar Sacred Langur,South East Asia,India,13.1,D,BOTH & T,2,12328.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
163,Cercopithecidae Mandrillus,Mandrill,West Africa,Gabon,23.6,D,T,2,4000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
164,Atelidae Alouatta,Mantled Howler,South America,Brazil,6.12,D,AR,0,40.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
165,Cercopithecidae Presbytis,Maroon Langur,South East Asia,Malaysia,6.13,D,AR,0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
166,Callitrichidae Saguinus,Martin s Bare faced Tamarin,South America,Brazil,0.5,D,AR,0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Pitheciidae Callicebus,Masked Titi,South America,Brazil,1.32,D,AR,2,11.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
168,Cercopithecidae Presbytis,Mentawai Langur,South East Asia,Indonesia,6.27,D,AR,3,25.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,Callitrichidae Saguinus,Midas Tamarin,South America,Guiana,0.56,D,AR,0,36.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
170,Lorisidae Perodicticus,Milne Edwards s Potto,North West Africa,Senegal,1.19,N,AR,0,23.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Indriidae Propithecus,Milne Edwards s Sifaka,Madagascar,Madagascar,5.74,D,AR,3,145.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
172,Lepilemuridae Lepilemur,Milne Edwards s Sportive Lemur,Madagascar,Madagascar,0.93,N,AR,3,1.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
173,Cercopithecidae Piliocolobus,Miss Waldron s Red Colobus,North West Africa,CÃ´te dÂIvoire,5.9,D,AR,4,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Cercopithecidae Presbytis,Mitered Langur,South East Asia,Indonesia,5.8,D,AR,3,21.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Lepilemuridae Lepilemur,Mittermeier s Sportive Lemur,Madagascar,Madagascar,0.86,N,AR,3,3.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Hylobatidae Hylobates,Moloch Gibbon,South East Asia,Indonesia,6.42,D,AR,3,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Cercopithecidae Cercopithecus,Mona Monkey,North West Africa,Benine,4.05,D,AR,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
178,Lemuridae Eulemur,Mongoose Lemur,Madagascar,Madagascar,1.48,CA,AR,4,2.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
179,Cercopithecidae Macaca,Moor Macaque,South East Asia,India,7.88,D,BOTH,3,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,Callitrichidae Saguinus,Mottled face Tamarin,South America,Colombia,0.69,D,AR,0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,Cercopithecidae Cercopithecus,Moustached Monkey,North West Africa,CÃ´te dÂIvoire,3.48,D,AR,0,44.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
182,Galagidae Galagoides,Mozambique Dwarf Galago,South Africa,Mozambique,0.134,N,AR,0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,Callitrichidae Saguinus,Mustached Tamarin,South America,Peru,0.53,D,AR,0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
184,Cercopithecidae Semnopithecus,Nepal Sacred Langur,South East Asia,Bangladesh,17.0,D,BOTH,0,6987.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Foli-frugivore,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
185,Cercopithecidae Semnopithecus,Nilgiri Langur,East Asia,China,11.6,D,AR,2,4.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
186,Lemuridae Hapalemur,Northern Bamboo Lemur,Madagascar,Madagascar,1.013,CA,AR,2,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Cercopithecidae Lophocebus,Northern Black Crested Mangabey,West Africa,Congo,6.8,D,AR,1,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
188,Cheirogaleidae Mirza,Northern Giant Mouse Lemur,Madagascar,Madagascar,0.29,N,AR,3,1.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Galagidae Galago,Northern Lesser Galago,West Africa,Congo,0.25,N,AR,0,6.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Atelidae Brachyteles,Northern Muriqui,South America,Brazil,9.0,D,AR,4,309.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
191,Galagidae Euoticus,Northern Needle clawed Galago,North West Africa,Nigeria,0.253,N,AR,0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Gummivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Cercopithecidae Macaca,Northern Pig tailed Macaque,South East Asia,India,6.7,D,BOTH & AR,2,215.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
193,Cercopithecidae Miopithecus,Northern Talapoin Monkey,West Africa,Gabon,1.25,D,BOTH,0,300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Hylobatidae Nomascus,Northern White cheeked Crested Gibbon,South East Asia,Laos,6.5,D,AR,4,87.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
195,Hylobatidae Nomascus,Northern Yellow cheeked Crested Gibbon,South East Asia,Laos,7.0,D,AR,5,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Pitheciidae Plecturocebus,Olalla s Titi,South America,Bolivia,0.8,D,AR,3,10.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,Foli-frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
197,Cercopithecidae Papio,Olive Baboon,Central Africa,Uganda,16.65,D,BOTH,0,1968.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
198,Cercopithecidae Procolobus,Olive Colobus,North West Africa,CÃ´te dÂIvoire,4.45,D,AR,1,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
199,Pitheciidae Plecturocebus,Ornate Titi,South America,Bolivia,1.17,D,AR,2,15.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,Cheirogaleidae Phaner,Pale Fork marked Lemur,Madagascar,Madagascar,0.34,N,AR,3,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Gummivore,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
201,Pitheciidae Plecturocebus,Pale Titi,South America,Bolivia,0.8,D,AR,0,20.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Cercopithecidae Presbytis,Pale thighed Langur,South East Asia,Malaysia,7.65,D,AR,1,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Aotidae Aotus,Panamanian Night Monkey,South America,Peru,0.9,N,AR,3,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
204,Cebidae Cebus,Panamanian White faced Capuchin,South America,Colombia,3.22,D,AR,0,134.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Atelidae Alouatta,Paraguayan Howler,South America,Brazil,5.38,D,AR,0,1.95,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
206,Cercopithecidae Erythrocebus,Patas Monkey,East Africa,Kenya,9.45,D,T,0,2851.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,Omnivore,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
207,Tarsiidae Tarsius,Peleng Tarsier,South East Asia,Indonesia,0.16,N,AR,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Insectivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
208,Cercopithecidae Piliocolobus,Pennant s Red Colobus,West Africa,Congo,7.4,D,AR,3,73.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,Indriidae Propithecus,Perrier s Sifaka,Madagascar,Madagascar,4.33,D,AR,4,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
210,Atelidae Lagothrix,Peruvian Yellow tailed Woolly Monkey,South America,Peru,7.25,D,AR,4,114.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Lepilemuridae Lepilemur,Petter s Sportive Lemur,Madagascar,Madagascar,0.62,N,AR,2,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Indriidae Avahi,Peyrieras s Woolly Lemur,Madagascar,Madagascar,1.08,N,AR,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Cercopithecidae Trachypithecus,Phayre s Langur,South East Asia,India,7.44,D,AR,3,82.37,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Lorisidae Nycticebus,Philippine Slow Loris,South East Asia,Philipines,0.285,N,AR,2,4.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,Tarsiidae Carlito,Philippine Tarsier,South America,Brazil,0.13,N,AR,1,4.4030000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Insectivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
216,Callitrichidae Saguinus,Pied Tamarin,South America,Brazil,0.43,D,AR,3,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
217,Cercopithecidae Simias,Pig tailed Langur,South East Asia,Indonesia,7.97,D,BOTH,4,7.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,Hylobatidae Hylobates,Pileated Gibbon,South East Asia,Indonesia,5.47,D,AR,3,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
219,Atelidae Lagothrix,Poeppig s Woolly Monkey,Central America,Ecuador,7.25,D,AR,2,116.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
220,Cercopithecidae Piliocolobus,Preuss s Red Colobus,North West Africa,Cameroon,8.3,D,AR,4,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
221,Cercopithecidae Nasalis,Proboscis Monkey,South East Asia,Indonesia,15.75,D,AR,3,900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
222,Cercopithecidae Semnopithecus,Purple faced Langur,South East Asia,India,7.03,D,AR,3,5.375,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,Cercopithecidae Cercopithecus,Putty nosed Monkey,North West Africa,Benine,5.46,D,AR,0,80.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
224,Callitrichidae Cebuella,Pygmy Marmoset,Central America,Ecuador,0.12,D,AR,0,0.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
225,Lorisidae Nycticebus,Pygmy Slow Loris,South East Asia,Borneo,0.42,N,AR,2,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Gummivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,Lemuridae Varecia,Red Ruffed Lemur,Madagascar,Madagascar,3.51,D,AR,4,24.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
227,Lorisidae Loris,Red Slender Loris,South East Asia,Sri Lanka,0.19,N,AR,3,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Insectivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
228,Lemuridae Eulemur,Red bellied Lemur,Madagascar,Madagascar,2.015,CA,AR,2,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
229,Callitrichidae Saguinus,Red bellied Tamarin,South America,Bolivia,0.51,D,AR,0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
230,Pitheciidae Plecturocebus,Red bellied Titi,South America,Paraguay,0.99,D,AR,0,4.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
231,Cercopithecidae Cercocebus,Red capped Mangabey,North West Africa,Cameroon,7.5,D,BOTH,2,247.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
232,Lemuridae Eulemur,Red collared Brown Lemur,Madagascar,Madagascar,2.14,CA,AR,3,58.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
233,Pitheciidae Plecturocebus,Red crowned Titi,Central America,Ecuador,1.01,D,AR,0,3.3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Cercopithecidae Cercopithecus,Red eared Monkey,North West Africa,Benine,3.4,D,AR,2,31.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,Atelidae Ateles,Red faced Black Spider Monkey,Central America,Surinam,8.28,D,AR,2,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
236,Lemuridae Eulemur,Red fronted Brown Lemur,Madagascar,Madagascar,2.21,CA,AR,1,22.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,Atelidae Alouatta,Red handed Howler,South America,Brazil,6.4,D,AR,2,7.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
238,Cercopithecidae Pygathrix,Red shanked Douc,South East Asia,Vietnam,9.72,D,AR,3,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
239,Cercopithecidae Cercopithecus,Red tailed Monkey,East Africa,Kenya,3.24,D,AR,0,22.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
240,Lepilemuridae Lepilemur,Red tailed Sportive Lemur,Madagascar,Madagascar,0.75,N,AR,2,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
