CommonName,HomeRange_ha,Status,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,Average_Weight
 Brown_backed_Bearded_Saki,,Unrated,,,,,,,,
Guianan_Beared_Saki,507.0,NE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Black_Bearded_Saki,58.0,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03
Uta_Hick_s_Bearded_Saki,100.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Grivet_Monkey,54.30400000000001,LC,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.65
Malbrouck_Monkey,,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.98
Bale_Monkey,15.2,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98
Vervet_Monkey,25.0,LC,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.63
Green_Monkey,160.5,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.3
Tantalus_Monkey,66.5,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.65
Angolan_Colobus,371.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
Guereza,15.45,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.89
King_Colobus,40.5,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1
Black_Colobus,573.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91
White_thighed_Colobus,48.0,VU,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.68
Aye_aye,102.95,EN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.56
Patas_Monkey,2851.0,LC,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.45
Heuglin's_Patas_Monkey,,Unrated,,,,,,,,
White_fronted_Brown_Lemur,13.1,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18
White_collared_Brown_Lemur,56.65,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16
Red_collared_Brown_Lemur,58.65,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14
Crowned_Lemur,7.53,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65
Blue_eyed_Black_Lemur,5.28,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82
Brown_Lemur,16.2,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05
Black_Lemur,19.1,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.063333333333333
Mongoose_Lemur,2.85,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48
Red_bellied_Lemur,19.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015
Red_fronted_Brown_Lemur,22.06,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21
Rufous_Brown_Lemur,97.5,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01
Sanford_s_Brown_Lemur,14.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85
Southern_Needle_clawed_Galago,6.7,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
Northern_Needle_clawed_Galago,2.5,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253
Somali_Lesser_Galago,2.0,LC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
Spectacled_Lesser_Galago,,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
Southern_Lesser_Galago,2.8,LC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
Northern_Lesser_Galago,6.5,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25
Kenya_Coast_Dwarf_Galago,1.95,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
Demidoff_s_Dwarf_Galago,1.6,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
Angolan_Dwarf_Galago,,Unrated,,,,,,,,
Mozambique_Dwarf_Galago,2.5,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134
Mountain_Dwarf_Galago,,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Rondo_Dwarf_Galago,,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675
Thomas_s_Dwarf_Galago,1.6,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
Tanzania_Coast_Dwarf_Galago,2.2,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
Eastern_Gorilla,3060.0,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0
Western_Gorilla,1100.0,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,122.5
Lac_Alaotra_Bamboo_Lemur,2.0,CR,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.24
Golden_Bamboo_Lemur,26.0,CR,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.45
Gray_Bamboo_Lemur,20.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8233333333333333
Southern_Bamboo_Lemur,13.27,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07
Northern_Bamboo_Lemur,26.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013
Western_Hoolock_Gibbon,22.5,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88
Eastern_Hoolock_Gibbon,93.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
Skywalker_Hoolock_Gibbon,,Unrated,,,,,,,,
Abbott_s_Gray_Gibbon,,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95
Agile_Gibbon,29.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Bornean_White_bearded_Gibbon,53.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95
East_Bornean_Gray_Gibbon,38.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
Kloss_s_Gibbon,33.3,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8
Lar_Gibbon,55.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.64
Moloch_Gibbon,17.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.42
Müller_s_Gibbon,44.0,,,,,,,,,
