,CommonName,Status
215,Antafia_Sportive_Lemur,VU
216,Tsiombikibo_Sportive_Lemur,EN
217,Ankarana_Sportive_Lemur,EN
218,Betsileo_Sportive_Lemur,EN
219,Gray_s_Sportive_Lemur,VU
220,Milne_Edwards_s_Sportive_Lemur,EN
221,Andohahela_Sportive_Lemur,CR
222,Anjiamangirana_Sportive_Lemur,EN
223,Mananara_Nord_Sportive_Lemur,EN
224,Zombitse_Sportive_Lemur,EN
225,Manombo_Sportive_Lemur,CR
226,White_footed_Sportive_Lemur,EN
227,Small_toothed_Sportive_Lemur,EN
228,Daraina_Sportive_Lemur,EN
229,Mittermeier_s_Sportive_Lemur,EN
230,Weasel_Sportive_Lemur,NT
231,Ambodimahabibo_Sportive_Lemur,EN
232,Petter_s_Sportive_Lemur,VU
233,Bemaraha_Sportive_Lemur,EN
234,Red_tailed_Sportive_Lemur,VU
235,Sahamalaza_Sportive_Lemur,CR
236,Masoala_Sportive_Lemur,EN
237,Seal_s_Sportive_Lemur,VU
238,Sahafary_Sportive_Lemur,CR
239,Nosy_Be_Sportive_Lemur,CR
240,Wright_s_Sportive_Lemur,EN
241,Gray_cheeked_Mangabey,LC
242,Northern_Black_Crested_Mangabey,NT
243,Johnston_s_Mangabey,LC
244,Southern_Back_Crested_Mangabey,DD
245,Rusty_mantled_Mangabey,LC
246,Ugandan_Crested_Mangabey,NE
247,Gray_Slender_Loris,LC
248,Red_Slender_Loris,EN
249,Stump_tailed_Macaque,VU
250,Assamese_Macaque,NT
251,Taiwanese_Macaque,LC
252,Long_tailed_Macaque,LC
253,Japanese_Macaque,LC
254,Heck_s_Macaque,VU
255,Northern_Pig_tailed_Macaque,VU
256,White_cheeked_Macaque,NE
257,Moor_Macaque,EN
258,Rhesus_Macaque,LC
259,Arunachal_Macaque,EN
260,Sunda_Pig_tailed_Macaque,VU
261,Crested_Macaque,CR
262,Gorontalo_Macaque,VU
263,Booted_Macaque,VU
264,Pagai_Macaque,CR
265,Bonnet_Macaque,LC
266,Siberut_Macaque,VU
267,Lion_tailed_Macaque,EN
268,Toque_Macaque,EN
269,Barbary_Macaque,EN
270,Tibetan_Macaque,NT
271,Tonkean_Macaque,VU
272,Drill,EN
273,Mandrill,VU
274,Rio_AcarÃ­_Marmoset,LC
275,Silvery_Marmoset,LC
276,Golden_white_Tassel_ear_Marmoset,LC
277,Snethlage_s_Marmoset,LC
278,SantarÃ©m_Marmoset,DD
280,Rio_AripuanÃ£_Marmoset,LC
281,Golden_white_Bare_ear_Marmoset,VU
282,Marca_s_Marmoset,DD
283,MauÃ©s_Marmoset,LC
284,Black_tailed_Marmoset,LC
285,Black_headed_Marmoset,DD
286,Rondon_s_Marmoset,VU
287,SaterÃ©_Marmoset,LC
288,Montagne_d_Ambre_Mouse_Lemur,EN
