CommonName,Status,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,Average_Weight
Thomas_s_Dwarf_Lemur,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Yellow_handed_Titi,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5
White_chested_Titi,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37
Medem_s_Titi,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18
Rio_Purus_Titi,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Rio_JuruÃ¡_Collared_Titi,LC,,,,,,,,1.25
White_collared_Titi,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25
White_nosed_Bearded_Saki,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82
Rio_Negro_Beared_Saki,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74
 Brown_backed_Bearded_Saki,Unrated,,,,,,,,
Guianan_Beared_Saki,NE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Black_Bearded_Saki,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03
Uta_Hick_s_Bearded_Saki,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Grivet_Monkey,LC,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.65
Malbrouck_Monkey,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.98
Bale_Monkey,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98
Vervet_Monkey,LC,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.63
Green_Monkey,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.3
Tantalus_Monkey,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.65
Angolan_Colobus,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
Guereza,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.89
King_Colobus,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1
Black_Colobus,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91
White_thighed_Colobus,VU,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.68
