,CommonName,DielActivity
111,Roloway_Monkey,D
112,Sclater_s_Monkey,D
113,Wolf_s_Monkey,D
114,Montagne_d_Ambre_Dwarf_Lemur,N
115,Crossley_s_Dwarf_Lemur,N
116,Lavasoa_Dwarf_lemur,N
117,Greater_Dwarf_Lemur,N
118,Fat_tailed_Dwarf_Lemur,N
119,Lesser_Iron_gray_Dwarf_Lemur,N
120, Sheth's_Dwarf_Lemur,
121,Sibree_s_Dwarf_Lemur,N
122,Thomas_s_Dwarf_Lemur,N
123,Yellow_handed_Titi,D
124,White_chested_Titi,D
125,Medem_s_Titi,D
126,Rio_Purus_Titi,D
127,Rio_Juruá_Collared_Titi,D
128,White_collared_Titi,D
129,White_nosed_Bearded_Saki,D
130,Rio_Negro_Beared_Saki,D
131, Brown_backed_Bearded_Saki,
132,Guianan_Beared_Saki,D
133,Black_Bearded_Saki,D
134,Uta_Hick_s_Bearded_Saki,D
135,Grivet_Monkey,D
136,Malbrouck_Monkey,D
137,Bale_Monkey,D
138,Vervet_Monkey,D
139,Green_Monkey,D
140,Tantalus_Monkey,D
141,Angolan_Colobus,D
142,Guereza,D
143,King_Colobus,D
144,Black_Colobus,D
145,White_thighed_Colobus,D
146,Aye_aye,N
147,Patas_Monkey,D
148,Heuglin's_Patas_Monkey,
149,White_fronted_Brown_Lemur,CA
150,White_collared_Brown_Lemur,CA
151,Red_collared_Brown_Lemur,CA
152,Crowned_Lemur,CA
153,Blue_eyed_Black_Lemur,CA
154,Brown_Lemur,CA
155,Black_Lemur,CA
156,Mongoose_Lemur,CA
157,Red_bellied_Lemur,CA
158,Red_fronted_Brown_Lemur,CA
159,Rufous_Brown_Lemur,CA
160,Sanford_s_Brown_Lemur,CA
161,Southern_Needle_clawed_Galago,N
162,Northern_Needle_clawed_Galago,N
163,Somali_Lesser_Galago,N
164,Spectacled_Lesser_Galago,N
165,Southern_Lesser_Galago,N
166,Northern_Lesser_Galago,N
167,Kenya_Coast_Dwarf_Galago,N
168,Demidoff_s_Dwarf_Galago,N
169,Mozambique_Dwarf_Galago,N
170,Mountain_Dwarf_Galago,N
171,Rondo_Dwarf_Galago,N
172,Angolan_Dwarf_Galago,
173,Thomas_s_Dwarf_Galago,N
174,Tanzania_Coast_Dwarf_Galago,N
175,Eastern_Gorilla,D
176,Western_Gorilla,D
177,Lac_Alaotra_Bamboo_Lemur,CA
178,Golden_Bamboo_Lemur,D
179,Gray_Bamboo_Lemur,D
180,Southern_Bamboo_Lemur,CA
181,Northern_Bamboo_Lemur,CA
182,Western_Hoolock_Gibbon,D
183,Eastern_Hoolock_Gibbon,D
184,Skywalker_Hoolock_Gibbon,
185,Abbott_s_Gray_Gibbon,D
186,Agile_Gibbon,D
187,Bornean_White_bearded_Gibbon,D
188,East_Bornean_Gray_Gibbon,D
189,Kloss_s_Gibbon,D
190,Lar_Gibbon,D
191,Moloch_Gibbon,D
192,Müller_s_Gibbon,D
193,Pileated_Gibbon,D
194,Indri,D
195,Gray_Woolly_Monkey,D
196,Peruvian_Yellow_tailed_Woolly_Monkey,D
197,Humboldt_s_Woolly_Monkey,D
198,Colombian_Woolly_Monkey,D
199,Poeppig_s_Woolly_Monkey,D
200,Ring_tailed_Lemur,D
201,Cruz_Limas_Saddle_back_Tamarin,D
202,Spix_s_Saddle_back_Tamarin,CA
204,Lesson_s_Saddle_back_Tamarin,D
205,Illiger_s_Saddle_back_Tamarin,D
206,Red_mantled_Saddle_back_Tamarin,D
207,Andean_Saddle_back_Tamarin,D
208,Black_mantled_tamarin,D
209,Geoffroy_s_Saddle_back_Tamarin,D
210,Golden_mantled_Saddle_back_Tamarin,D
211,Weddells_Saddle_back_Tamarin,D
212,Black_faced_Lion_Tamarin,D
213,Golden_headed_Lion_Tamarin,D
214,Black_Lion_Tamarin,D
215,Golden_Lion_Tamarin,D
216,Antafia_Sportive_Lemur,N
217,Tsiombikibo_Sportive_Lemur,N
218,Ankarana_Sportive_Lemur,N
219,Betsileo_Sportive_Lemur,N
220,Gray_s_Sportive_Lemur,N
221,Milne_Edwards_s_Sportive_Lemur,N
222,Andohahela_Sportive_Lemur,N
223,Anjiamangirana_Sportive_Lemur,N
224,Mananara_Nord_Sportive_Lemur,N
225,Zombitse_Sportive_Lemur,N
226,Manombo_Sportive_Lemur,N
227,White_footed_Sportive_Lemur,N
228,Small_toothed_Sportive_Lemur,N
229,Daraina_Sportive_Lemur,N
230,Mittermeier_s_Sportive_Lemur,N
231,Weasel_Sportive_Lemur,N
232,Ambodimahabibo_Sportive_Lemur,N
233,Petter_s_Sportive_Lemur,N
234,Bemaraha_Sportive_Lemur,N
235,Red_tailed_Sportive_Lemur,N
236,Sahamalaza_Sportive_Lemur,N
237,Masoala_Sportive_Lemur,N
238,Seal_s_Sportive_Lemur,N
239,Sahafary_Sportive_Lemur,N
240,Nosy_Be_Sportive_Lemur,N
241,Wright_s_Sportive_Lemur,N
242,Gray_cheeked_Mangabey,D
243,Northern_Black_Crested_Mangabey,D
244,Johnston_s_Mangabey,D
245,Southern_Back_Crested_Mangabey,D
246,Rusty_mantled_Mangabey,D
247,Ugandan_Crested_Mangabey,D
248,Gray_Slender_Loris,N
249,Red_Slender_Loris,N
250,Stump_tailed_Macaque,D
251,Assamese_Macaque,D
252,Taiwanese_Macaque,D
253,Long_tailed_Macaque,D
254,Japanese_Macaque,D
255,Heck_s_Macaque,D
256,Northern_Pig_tailed_Macaque,D
257,White_cheeked_Macaque,D
258,Moor_Macaque,D
259,Rhesus_Macaque,D
260,Arunachal_Macaque,D
261,Sunda_Pig_tailed_Macaque,D
262,Crested_Macaque,D
263,Gorontalo_Macaque,D
264,Booted_Macaque,D
265,Pagai_Macaque,D
266,Bonnet_Macaque,D
267,Siberut_Macaque,D
268,Lion_tailed_Macaque,D
269,Toque_Macaque,D
270,Barbary_Macaque,D
271,Tibetan_Macaque,D
272,Tonkean_Macaque,D
273,Drill,D
274,Mandrill,D
275,Rio_Acarí_Marmoset,D
276,Silvery_Marmoset,D
277,Golden_white_Tassel_ear_Marmoset,D
278,Snethlage_s_Marmoset,D
279,Santarém_Marmoset,D
281,Rio_Aripuanã_Marmoset,D
282,Golden_white_Bare_ear_Marmoset,D
283,Marca_s_Marmoset,D
284,Maués_Marmoset,D
285,Black_tailed_Marmoset,D
286,Black_headed_Marmoset,D
287,Rondon_s_Marmoset,D
288,Sateré_Marmoset,D
289,Montagne_d_Ambre_Mouse_Lemur,N
290,Madame_Berthe_s_Mouse_Lemur,N
291,Bongolava_Mouse_Lemur,N
292, Nosy_Boraha_Mouse_Lemur,
293,Ambarijeby_Mouse_Lemur,N
294,Ganzhorn's_Mouse_Lemur,
295,Gerp_s_Mouse_Lemur,N
296,Gray_brown_Mouse_Lemur,N
297,Jolly_s_Mouse_Lemur,N
298,Goodman_s_Mouse_Lemur,N
299,Anjiahely_Mouse_Lemur,N
300,Nosy_Be_Mouse_Lemur,N
301,Bemanasy_Mouse_Lemur,
302,Margot_Marsh_s_Mouse_Lemur,N
303,Marohita_Mouse_Lemur,N
304,Mittermeier_s_Mouse_Lemur,N
305,Gray_Mouse_Lemur,N
306,Peters_s_Mouse_Lemur,N
307,Golden_brown_Mouse_Lemur,N
308,Rufous_Mouse_Lemur,N
309,Sambirano_Mouse_Lemur,N
310,Simmons_s_Mouse_Lemur,N
311,Anosi_Mouse_lemur,N
312,Tavaratra_Mouse_Lemur,N
313,Northern_Talapoin_Monkey,D
314,Southern_Talapoin_Monkey,D
315,Coquerel_s_Giant_Mouse_Lemur,N
316,Northern_Giant_Mouse_Lemur,N
317,Proboscis_Monkey,D
318,Northern_Yellow_cheeked_Crested_Gibbon,D
319,Western_Black_Crested_Gibbon,D
320,Southern_Yellow_cheeked_Crested_Gibbon,D
321,Hainan_Crested_Gibbon,D
322,Northern_White_cheeked_Crested_Gibbon,D
323,Eastern_Black_Crested_Gibbon,D
324,Southern_White_cheeked_Crested_Gibbon,D
325,Bangka_Slow_Loris,N
326,Bengal_Slow_Loris,N
327,Bornean_Slow_Loris,N
328,Sunda_Slow_Loris,N
329,Javan_Slow_Loris,N
330,Kayan_River_Slow_Loris,N
331,Philippine_Slow_Loris,N
332,Pygmy_Slow_Loris,N
333,Thick_tailed_Greater_Galago,N
334,Garnett_s_Greater_Galago,N
335,Bonobo,D
336,Chimpanzee,D
337,Olive_Baboon,D
338,Yellow_Baboon,D
339,Hamadryas_Baboon,D
340,Kinda_Baboon,D
341,Guinea_Baboon,D
342,Chacma_Baboon,D
348,Milne_Edwards_s_Potto,N
349,East_African_Potto,N
350,West_African_Potto,N
351,Montagne_D__Ambre_Fork_marked_Lemur,N
352,Masoala_Fork_marked_Lemur,N
353,Pale_Fork_marked_Lemur,N
354,Sambirano_Fork_marked_Lemur,N
355,Upper_Guinea_Red_Colobus,D
356,Bouvier_s_Red_Colobus,D
357,Niger_Delta_Red_Colobus,D
358,Foa_s_Red_Colobus,D
359,Udzungwa_Red_Colobus,D
360,Zanzibar_Red_Colobus,D
361,Lang_s_Red_Colobus,D
363,Oustalet_s_Red_Colobus,D
364,Lomami_Red_Colobus,D
365,Pennant_s_Red_Colobus,D
366,Preuss_s_Red_Colobus,D
367,Tana_River_Red_Colobus,D
368,Semliki_Red_Colobus,D
369,Temminick_s_Red_Colobus,D
370,Ashy_Red_Colobus,D
371,Tshuapa_Red_Colobus,D
372,Miss_Waldron_s_Red_Colobus,D
373,Equatorial_Saki,D
374,Buffy_Saki,D
375,Cazuza_s_Saki,D
376,Golden_faced_Saki,D
377,Hairy_Saki,D
378,Burnished_Saki,D
379,Gray_s_Bald_faced_Saki,D
380,Isabel_s_Saki,D
381,Miller_s_Saki,D
382,Mittermeier_s_Tapajós_Saki,D
383,Monk_Saki,D
384,Napo_Saki,D
385,Pissinatti_s_Bald_faced_Saki,D
386,White_faced_saki,D
387,Rylands__Bald_faced_Saki,D
388,Vanzolinis_Bald_faced_Saki,D
389,Madidi_Titi,D
390,Lake_Baptista_Titi,D
391,Prince_Bernhard_s_Titi,D
392,Brown_Titi,D
393,Chestnut_bellied_Titi,D
394,Caquetá_Titi,D
395,Ashy_Titi,D
396,Coppery_Titi,D
397,Red_crowned_Titi,D
398,White_eared_Titi,D
399,Hoffmann_s_Titi,D
400,Milton´s_titi_monkey,D
401,Rio_Beni_Titi,D
402,Red_bellied_Titi,D
403,San_Martín_Titi,D
404,Olalla_s_Titi,D
405,Ornate_Titi,D
406,Pale_Titi,D
407,Stephen_Nash_s_Titi,D
408,Toppins_Titi,D
409,Urubamba_Brown_Titi,D
410,Vieira_s_Titi,D
411,Sumatran_Orangutan,D
412,Bornean_Orangutan,D
413,Tapanuli_Orangutan,
414,Black_and_white_Langur,D
415,Miller_s_Langur,D
416,Cross_marked_Langur,D
417,Javan_Langur,D
418,Banded_Langur,D
419,White_fronted_Langur,D
420,Hose_s_Langur,D
