,CommonName,Average_Weight
155, Brown_backed_Bearded_Saki,
156,Guianan_Beared_Saki,3.0
157,Black_Bearded_Saki,3.03
159,Uta_Hick_s_Bearded_Saki,3.0
160,Grivet_Monkey,4.65
161,Malbrouck_Monkey,3.98
162,Bale_Monkey,3.98
163,Vervet_Monkey,3.63
165,Green_Monkey,4.3
167,Tantalus_Monkey,4.65
169,Angolan_Colobus,8.6
170,Guereza,8.89
171,King_Colobus,9.1
172,Black_Colobus,8.91
173,White_thighed_Colobus,7.68
174,Aye_aye,2.56
176,Patas_Monkey,9.45
177,Heuglin's_Patas_Monkey,
178,White_fronted_Brown_Lemur,2.18
180,White_collared_Brown_Lemur,2.16
181,Red_collared_Brown_Lemur,2.14
183,Crowned_Lemur,1.65
185,Blue_eyed_Black_Lemur,1.82
187,Brown_Lemur,2.05
189,Black_Lemur,2.063333333333333
192,Mongoose_Lemur,1.48
194,Red_bellied_Lemur,2.015
196,Red_fronted_Brown_Lemur,2.21
198,Rufous_Brown_Lemur,2.0100000000000002
201,Sanford_s_Brown_Lemur,1.85
203,Southern_Needle_clawed_Galago,0.27
204,Northern_Needle_clawed_Galago,0.253
205,Somali_Lesser_Galago,0.2
206,Spectacled_Lesser_Galago,0.21
207,Southern_Lesser_Galago,0.2
208,Northern_Lesser_Galago,0.25
209,Kenya_Coast_Dwarf_Galago,0.14
210,Demidoff_s_Dwarf_Galago,0.06
211,Mozambique_Dwarf_Galago,0.134
213,Mountain_Dwarf_Galago,0.09
214,Rondo_Dwarf_Galago,0.675
215,Angolan_Dwarf_Galago,
216,Thomas_s_Dwarf_Galago,0.12
217,Tanzania_Coast_Dwarf_Galago,0.14
218,Eastern_Gorilla,130.0
219,Western_Gorilla,122.5
220,Lac_Alaotra_Bamboo_Lemur,1.24
221,Golden_Bamboo_Lemur,1.45
223,Gray_Bamboo_Lemur,0.8233333333333333
226,Southern_Bamboo_Lemur,1.07
228,Northern_Bamboo_Lemur,1.013
230,Western_Hoolock_Gibbon,6.88
231,Eastern_Hoolock_Gibbon,7.2
232,Skywalker_Hoolock_Gibbon,
233,Abbott_s_Gray_Gibbon,5.95
234,Agile_Gibbon,6.0
235,Bornean_White_bearded_Gibbon,5.95
236,East_Bornean_Gray_Gibbon,5.5
237,Kloss_s_Gibbon,5.8
238,Lar_Gibbon,5.64
239,Moloch_Gibbon,6.42
240,MÃ¼ller_s_Gibbon,5.35
241,Pileated_Gibbon,5.47
242,Indri,6.34
244,Gray_Woolly_Monkey,8.31
245,Peruvian_Yellow_tailed_Woolly_Monkey,7.25
246,Humboldt_s_Woolly_Monkey,7.15
247,Colombian_Woolly_Monkey,6.87
248,Poeppig_s_Woolly_Monkey,7.25
249,Ring_tailed_Lemur,2.21
250,Cruz_LimaÂs_Saddle_back_Tamarin,
251,Spix_s_Saddle_back_Tamarin,0.33
252,Lesson_s_Saddle_back_Tamarin,0.37
253,Illiger_s_Saddle_back_Tamarin,0.29
254,Red_mantled_Saddle_back_Tamarin,0.37
255,Andean_Saddle_back_Tamarin,0.37
256,Black_mantled_tamarin,0.48
257,Geoffroy_s_Saddle_back_Tamarin,0.36
258,Golden_mantled_Saddle_back_Tamarin,0.4
259,WeddellÂs_Saddle_back_Tamarin,0.36
260,Black_faced_Lion_Tamarin,0.58
261,Golden_headed_Lion_Tamarin,0.58
262,Black_Lion_Tamarin,0.615
263,Golden_Lion_Tamarin,0.64
264,Antafia_Sportive_Lemur,0.89
266,Tsiombikibo_Sportive_Lemur,0.61
268,Ankarana_Sportive_Lemur,0.77
270,Betsileo_Sportive_Lemur,1.15
272,Gray_s_Sportive_Lemur,0.87
274,Milne_Edwards_s_Sportive_Lemur,0.93
276,Andohahela_Sportive_Lemur,0.89
277,Anjiamangirana_Sportive_Lemur,0.78
279,Mananara_Nord_Sportive_Lemur,1.0
280,Zombitse_Sportive_Lemur,0.99
281,Manombo_Sportive_Lemur,0.78
283,White_footed_Sportive_Lemur,0.61
285,Small_toothed_Sportive_Lemur,0.97
287,Daraina_Sportive_Lemur,0.72
289,Mittermeier_s_Sportive_Lemur,0.86
291,Weasel_Sportive_Lemur,1.0
293,Ambodimahabibo_Sportive_Lemur,0.938
295,Petter_s_Sportive_Lemur,0.62
296,Bemaraha_Sportive_Lemur,0.79
298,Red_tailed_Sportive_Lemur,0.75
300,Sahamalaza_Sportive_Lemur,0.69
302,Masoala_Sportive_Lemur,0.88
303,Seal_s_Sportive_Lemur,0.95
304,Sahafary_Sportive_Lemur,0.675
306,Nosy_Be_Sportive_Lemur,0.88
307,Wright_s_Sportive_Lemur,1.82
309,Gray_cheeked_Mangabey,6.95
310,Northern_Black_Crested_Mangabey,6.8
311,Johnston_s_Mangabey,6.58
312,Southern_Back_Crested_Mangabey,6.8
313,Rusty_mantled_Mangabey,6.58
314,Ugandan_Crested_Mangabey,6.5
315,Gray_Slender_Loris,0.27
316,Red_Slender_Loris,0.19
317,Stump_tailed_Macaque,10.3
318,Assamese_Macaque,9.0
319,Taiwanese_Macaque,5.47
320,Long_tailed_Macaque,4.03
321,Japanese_Macaque,9.5
322,Heck_s_Macaque,9.0
323,Northern_Pig_tailed_Macaque,6.7
324,White_cheeked_Macaque,
325,Moor_Macaque,7.88
326,Rhesus_Macaque,5.96
327,Arunachal_Macaque,15.0
328,Sunda_Pig_tailed_Macaque,8.89
329,Crested_Macaque,7.68
330,Gorontalo_Macaque,5.65
331,Booted_Macaque,3.95
332,Pagai_Macaque,6.38
333,Bonnet_Macaque,5.14
334,Siberut_Macaque,6.38
336,Lion_tailed_Macaque,7.5
337,Toque_Macaque,4.48
338,Barbary_Macaque,13.5
339,Tibetan_Macaque,15.55
340,Tonkean_Macaque,11.95
341,Drill,15.0
343,Mandrill,23.6
344,Rio_AcarÃ­_Marmoset,0.42
345,Silvery_Marmoset,0.35
346,Golden_white_Tassel_ear_Marmoset,0.295
347,Snethlage_s_Marmoset,0.32
348,SantarÃ©m_Marmoset,0.42
350,Rio_AripuanÃ£_Marmoset,0.3
352,Golden_white_Bare_ear_Marmoset,0.5
353,Marca_s_Marmoset,0.55
354,MauÃ©s_Marmoset,0.37
355,Black_tailed_Marmoset,0.22
356,Black_headed_Marmoset,0.38
357,Rondon_s_Marmoset,0.33
358,SaterÃ©_Marmoset,0.44
359,Montagne_d_Ambre_Mouse_Lemur,0.05
360,Madame_Berthe_s_Mouse_Lemur,0.03
361,Bongolava_Mouse_Lemur,0.054000000000000006
363, Nosy_Boraha_Mouse_Lemur,
364,Ambarijeby_Mouse_Lemur,0.06
365,Gerp_s_Mouse_Lemur,0.07
366,Ganzhorn's_Mouse_Lemur,
367,Gray_brown_Mouse_Lemur,0.05
369,Jolly_s_Mouse_Lemur,0.06
370,Goodman_s_Mouse_Lemur,0.045
372,Anjiahely_Mouse_Lemur,0.05
373,Nosy_Be_Mouse_Lemur,0.06
375,Bemanasy_Mouse_Lemur,
376,Margot_Marsh_s_Mouse_Lemur,0.05
378,Marohita_Mouse_Lemur,0.06
379,Mittermeier_s_Mouse_Lemur,0.04
380,Gray_Mouse_Lemur,0.06
381,Peters_s_Mouse_Lemur,0.03
383,Golden_brown_Mouse_Lemur,0.05
385,Rufous_Mouse_Lemur,0.04
387,Sambirano_Mouse_Lemur,0.04
388,Simmons_s_Mouse_Lemur,0.0765
390,Anosi_Mouse_lemur,0.05
391,Tavaratra_Mouse_Lemur,0.06
393,Northern_Talapoin_Monkey,1.25
394,Southern_Talapoin_Monkey,1.25
395,Coquerel_s_Giant_Mouse_Lemur,0.31
397,Northern_Giant_Mouse_Lemur,0.29
