,Family,Genus,CommonName,Locomotion
133,Pitheciidae,Chiropotes,Black_Bearded_Saki,AR
134,Pitheciidae,Chiropotes,Uta_Hick_s_Bearded_Saki,AR
135,Cercopithecidae,Chlorocebus,Grivet_Monkey,T
136,Cercopithecidae,Chlorocebus,Malbrouck_Monkey,T
137,Cercopithecidae,Chlorocebus,Bale_Monkey,BOTH
138,Cercopithecidae,Chlorocebus,Vervet_Monkey,T
139,Cercopithecidae,Chlorocebus,Green_Monkey,T
140,Cercopithecidae,Chlorocebus,Tantalus_Monkey,T
141,Cercopithecidae,Colobus,Angolan_Colobus,AR
142,Cercopithecidae,Colobus,Guereza,AR
143,Cercopithecidae,Colobus,King_Colobus,AR
144,Cercopithecidae,Colobus,Black_Colobus,AR
145,Cercopithecidae,Colobus,White_thighed_Colobus,AR
146,Daubentoniidae,Daubentonia,Aye_aye,AR
147,Cercopithecidae,Erythrocebus,Patas_Monkey,T
148,Cercopithecidae,Erythrocebus,Heuglin's_Patas_Monkey,
149,Lemuridae,Eulemur,White_fronted_Brown_Lemur,AR
150,Lemuridae,Eulemur,White_collared_Brown_Lemur,AR
151,Lemuridae,Eulemur,Red_collared_Brown_Lemur,AR
152,Lemuridae,Eulemur,Crowned_Lemur,AR
153,Lemuridae,Eulemur,Blue_eyed_Black_Lemur,AR
154,Lemuridae,Eulemur,Brown_Lemur,AR
155,Lemuridae,Eulemur,Black_Lemur,AR
156,Lemuridae,Eulemur,Mongoose_Lemur,AR
157,Lemuridae,Eulemur,Red_bellied_Lemur,AR
158,Lemuridae,Eulemur,Red_fronted_Brown_Lemur,AR
159,Lemuridae,Eulemur,Rufous_Brown_Lemur,AR
160,Lemuridae,Eulemur,Sanford_s_Brown_Lemur,AR
161,Galagidae,Euoticus,Southern_Needle_clawed_Galago,AR
162,Galagidae,Euoticus,Northern_Needle_clawed_Galago,AR
163,Galagidae,Galago,Somali_Lesser_Galago,AR
164,Galagidae,Galago,Spectacled_Lesser_Galago,AR
165,Galagidae,Galago,Southern_Lesser_Galago,AR
166,Galagidae,Galago,Northern_Lesser_Galago,AR
167,Galagidae,Galagoides,Kenya_Coast_Dwarf_Galago,AR
168,Galagidae,Galagoides,Demidoff_s_Dwarf_Galago,AR
169,Galagidae,Galagoides,Angolan_Dwarf_Galago,
170,Galagidae,Galagoides,Mozambique_Dwarf_Galago,AR
171,Galagidae,Galagoides,Mountain_Dwarf_Galago,AR
172,Galagidae,Galagoides,Rondo_Dwarf_Galago,AR
173,Galagidae,Galagoides,Thomas_s_Dwarf_Galago,AR
174,Galagidae,Galagoides,Tanzania_Coast_Dwarf_Galago,AR
175,Hominidae,Gorilla,Eastern_Gorilla,BOTH
176,Hominidae,Gorilla,Eastern_Gorilla,BOTH
177,Hominidae,Gorilla,Western_Gorilla,BOTH
178,Lemuridae,Hapalemur,Lac_Alaotra_Bamboo_Lemur,AR
179,Lemuridae,Hapalemur,Golden_Bamboo_Lemur,AR
180,Lemuridae,Hapalemur,Gray_Bamboo_Lemur,AR
181,Lemuridae,Hapalemur,Southern_Bamboo_Lemur,AR
182,Lemuridae,Hapalemur,Northern_Bamboo_Lemur,AR
183,Hylobatidae,Hoolock,Western_Hoolock_Gibbon,AR
184,Hylobatidae,Hoolock,Eastern_Hoolock_Gibbon,AR
185,Hylobatidae,Hoolock,Skywalker_Hoolock_Gibbon,
186,Hylobatidae,Hylobates,Abbott_s_Gray_Gibbon,AR
187,Hylobatidae,Hylobates,Agile_Gibbon,AR
188,Hylobatidae,Hylobates,Bornean_White_bearded_Gibbon,AR
189,Hylobatidae,Hylobates,East_Bornean_Gray_Gibbon,AR
190,Hylobatidae,Hylobates,Kloss_s_Gibbon,AR
191,Hylobatidae,Hylobates,Lar_Gibbon,AR
192,Hylobatidae,Hylobates,Moloch_Gibbon,AR
193,Hylobatidae,Hylobates,Müller_s_Gibbon,AR
194,Hylobatidae,Hylobates,Pileated_Gibbon,AR
195,Indriidae,Indri,Indri,AR
196,Atelidae,Lagothrix,Gray_Woolly_Monkey,AR
197,Atelidae,Lagothrix,Peruvian_Yellow_tailed_Woolly_Monkey,AR
198,Atelidae,Lagothrix,Humboldt_s_Woolly_Monkey,AR
199,Atelidae,Lagotrix,Colombian_Woolly_Monkey,AR
200,Atelidae,Lagothrix,Poeppig_s_Woolly_Monkey,AR
201,Lemuridae,Lemur,Ring_tailed_Lemur,BOTH
202,Callitrichidae,Leontocebus,Cruz_Limas_Saddle_back_Tamarin,AR
203,Callitrichidae,Leontocebus,Spix_s_Saddle_back_Tamarin,AR
204,Callitrichidae,Leontocebus,Lesson_s_Saddle_back_Tamarin,AR
205,Callitrichidae,Leontocebus,Illiger_s_Saddle_back_Tamarin,AR
206,Callitrichidae,Leontocebus,Red_mantled_Saddle_back_Tamarin,AR
207,Callitrichidae,Leontocebus,Andean_Saddle_back_Tamarin,AR
208,Callitrichidae,Leontocebus,Black_mantled_tamarin,AR
209,Callitrichidae,Leontocebus,Geoffroy_s_Saddle_back_Tamarin,AR
210,Callitrichidae,Leontocebus,Golden_mantled_Saddle_back_Tamarin,AR
211,Callitrichidae,Leontocebus,Weddells_Saddle_back_Tamarin,AR
212,Callitrichidae,Leontopithecus,Black_faced_Lion_Tamarin,AR
213,Callitrichidae,Leontopithecus,Golden_headed_Lion_Tamarin,AR
214,Callitrichidae,Leontopithecus,Black_Lion_Tamarin,AR
215,Callitrichidae,Leontopithecus,Golden_Lion_Tamarin,AR
216,Lepilemuridae,Lepilemur,Antafia_Sportive_Lemur,AR
217,Lepilemuridae,Lepilemur,Tsiombikibo_Sportive_Lemur,AR
218,Lepilemuridae,Lepilemur,Ankarana_Sportive_Lemur,AR
219,Lepilemuridae,Lepilemur,Betsileo_Sportive_Lemur,AR
220,Lepilemuridae,Lepilemur,Gray_s_Sportive_Lemur,AR
221,Lepilemuridae,Lepilemur,Milne_Edwards_s_Sportive_Lemur,AR
222,Lepilemuridae,Lepilemur,Andohahela_Sportive_Lemur,AR
223,Lepilemuridae,Lepilemur,Anjiamangirana_Sportive_Lemur,AR
224,Lepilemuridae,Lepilemur,Mananara_Nord_Sportive_Lemur,AR
225,Lepilemuridae,Lepilemur,Zombitse_Sportive_Lemur,AR
226,Lepilemuridae,Lepilemur,Manombo_Sportive_Lemur,AR
227,Lepilemuridae,Lepilemur,White_footed_Sportive_Lemur,AR
228,Lepilemuridae,Lepilemur,Small_toothed_Sportive_Lemur,AR
229,Lepilemuridae,Lepilemur,Daraina_Sportive_Lemur,AR
230,Lepilemuridae,Lepilemur,Mittermeier_s_Sportive_Lemur,AR
231,Lepilemuridae,Lepilemur,Weasel_Sportive_Lemur,AR
232,Lepilemuridae,Lepilemur,Ambodimahabibo_Sportive_Lemur,AR
233,Lepilemuridae,Lepilemur,Petter_s_Sportive_Lemur,AR
234,Lepilemuridae,Lepilemur,Bemaraha_Sportive_Lemur,AR
235,Lepilemuridae,Lepilemur,Red_tailed_Sportive_Lemur,AR
236,Lepilemuridae,Lepilemur,Sahamalaza_Sportive_Lemur,AR
237,Lepilemuridae,Lepilemur,Masoala_Sportive_Lemur,AR
238,Lepilemuridae,Lepilemur,Seal_s_Sportive_Lemur,AR
239,Lepilemuridae,Lepilemur,Sahafary_Sportive_Lemur,AR
240,Lepilemuridae,Lepilemur,Nosy_Be_Sportive_Lemur,AR
241,Lepilemuridae,Lepilemur,Wright_s_Sportive_Lemur,AR
242,Cercopithecidae,Lophocebus,Gray_cheeked_Mangabey,AR
243,Cercopithecidae,Lophocebus,Northern_Black_Crested_Mangabey,AR
244,Cercopithecidae,Lophocebus,Johnston_s_Mangabey,AR
245,Cercopithecidae,Lophocebus,Southern_Back_Crested_Mangabey,AR
246,Cercopithecidae,Lophocebus,Rusty_mantled_Mangabey,AR
247,Cercopithecidae,Lophocebus,Ugandan_Crested_Mangabey,AR
248,Lorisidae,Loris,Gray_Slender_Loris,AR
249,Lorisidae,Loris,Gray_Slender_Loris,BOTH
250,Lorisidae,Loris,Red_Slender_Loris,AR
251,Cercopithecidae,Macaca,Stump_tailed_Macaque,T
252,Cercopithecidae,Macaca,Stump_tailed_Macaque,BOTH
253,Cercopithecidae,Macaca,Assamese_Macaque,AR
254,Cercopithecidae,Macaca,Taiwanese_Macaque,BOTH
255,Cercopithecidae,Macaca,Long_tailed_Macaque,AR
256,Cercopithecidae,Macaca,Long_tailed_Macaque,BOTH
257,Cercopithecidae,Macaca,Japanese_Macaque,BOTH
258,Cercopithecidae,Macaca,Japanese_Macaque,AR
259,Cercopithecidae,Macaca,Heck_s_Macaque,AR
260,Cercopithecidae,Macaca,Northern_Pig_tailed_Macaque,AR
261,Cercopithecidae,Macaca,Northern_Pig_tailed_Macaque,BOTH
262,Cercopithecidae,Macaca,White_cheeked_Macaque,
263,Cercopithecidae,Macaca,Moor_Macaque,BOTH
264,Cercopithecidae,Macaca,Rhesus_Macaque,BOTH
265,Cercopithecidae,Macaca,Arunachal_Macaque,T
266,Cercopithecidae,Macaca,Arunachal_Macaque,BOTH
267,Cercopithecidae,Macaca,Sunda_Pig_tailed_Macaque,T
268,Cercopithecidae,Macaca,Sunda_Pig_tailed_Macaque,BOTH
269,Cercopithecidae,Macaca,Crested_Macaque,T
270,Cercopithecidae,Macaca,Gorontalo_Macaque,AR
271,Cercopithecidae,Macaca,Booted_Macaque,BOTH
272,Cercopithecidae,Macaca,Pagai_Macaque,BOTH
273,Cercopithecidae,Macaca,Pagai_Macaque,AR
274,Cercopithecidae,Macaca,Bonnet_Macaque,BOTH
275,Cercopithecidae,Macaca,Siberut_Macaque,T
