,Family,Genus,CommonName,Average_Weight
163,Cercopithecidae,Chlorocebus,Vervet_Monkey,3.63
164,Cercopithecidae,Chlorocebus,Vervet_Monkey,5.7
165,Cercopithecidae,Chlorocebus,Green_Monkey,4.3
166,Cercopithecidae,Chlorocebus,Green_Monkey,5.45
167,Cercopithecidae,Chlorocebus,Tantalus_Monkey,4.65
168,Cercopithecidae,Chlorocebus,Tantalus_Monkey,6.0
169,Cercopithecidae,Colobus,Angolan_Colobus,8.6
170,Cercopithecidae,Colobus,Guereza,8.89
171,Cercopithecidae,Colobus,King_Colobus,9.1
172,Cercopithecidae,Colobus,Black_Colobus,8.91
173,Cercopithecidae,Colobus,White_thighed_Colobus,7.68
174,Daubentoniidae,Daubentonia,Aye_aye,2.56
175,Daubentoniidae,Daubentonia,Aye_aye,2.53
176,Cercopithecidae,Erythrocebus,Patas_Monkey,9.45
177,Cercopithecidae,Erythrocebus,Heuglin's_Patas_Monkey,
178,Lemuridae,Eulemur,White_fronted_Brown_Lemur,2.18
179,Lemuridae,Eulemur,White_fronted_Brown_Lemur,1.9
180,Lemuridae,Eulemur,White_collared_Brown_Lemur,2.16
181,Lemuridae,Eulemur,Red_collared_Brown_Lemur,2.14
182,Lemuridae,Eulemur,Red_collared_Brown_Lemur,2.18
183,Lemuridae,Eulemur,Crowned_Lemur,1.65
184,Lemuridae,Eulemur,Crowned_Lemur,1.29
185,Lemuridae,Eulemur,Blue_eyed_Black_Lemur,1.82
186,Lemuridae,Eulemur,Blue_eyed_Black_Lemur,1.84
187,Lemuridae,Eulemur,Brown_Lemur,2.05
188,Lemuridae,Eulemur,Brown_Lemur,1.63
189,Lemuridae,Eulemur,Black_Lemur,2.39
190,Lemuridae,Eulemur,Black_Lemur,1.82
191,Lemuridae,Eulemur,Black_Lemur,1.98
192,Lemuridae,Eulemur,Mongoose_Lemur,1.48
193,Lemuridae,Eulemur,Mongoose_Lemur,1.27
194,Lemuridae,Eulemur,Red_bellied_Lemur,2.015
195,Lemuridae,Eulemur,Red_bellied_Lemur,1.98
196,Lemuridae,Eulemur,Red_fronted_Brown_Lemur,2.21
197,Lemuridae,Eulemur,Red_fronted_Brown_Lemur,2.15
198,Lemuridae,Eulemur,Rufous_Brown_Lemur,2.22
199,Lemuridae,Eulemur,Rufous_Brown_Lemur,2.22
200,Lemuridae,Eulemur,Rufous_Brown_Lemur,1.59
201,Lemuridae,Eulemur,Sanford_s_Brown_Lemur,1.85
202,Lemuridae,Eulemur,Sanford_s_Brown_Lemur,1.89
203,Galagidae,Euoticus,Southern_Needle_clawed_Galago,0.27
204,Galagidae,Euoticus,Northern_Needle_clawed_Galago,0.253
205,Galagidae,Galago,Somali_Lesser_Galago,0.2
206,Galagidae,Galago,Spectacled_Lesser_Galago,0.21
207,Galagidae,Galago,Southern_Lesser_Galago,0.2
208,Galagidae,Galago,Northern_Lesser_Galago,0.25
209,Galagidae,Galagoides,Kenya_Coast_Dwarf_Galago,0.14
210,Galagidae,Galagoides,Demidoff_s_Dwarf_Galago,0.06
211,Galagidae,Galagoides,Mozambique_Dwarf_Galago,
212,Galagidae,Galagoides,Mozambique_Dwarf_Galago,0.134
213,Galagidae,Galagoides,Mountain_Dwarf_Galago,0.09
214,Galagidae,Galagoides,Rondo_Dwarf_Galago,0.675
215,Galagidae,Galagoides,Angolan_Dwarf_Galago,
216,Galagidae,Galagoides,Thomas_s_Dwarf_Galago,0.12
217,Galagidae,Galagoides,Tanzania_Coast_Dwarf_Galago,0.14
218,Hominidae,Gorilla,Eastern_Gorilla,130.0
219,Hominidae,Gorilla,Western_Gorilla,122.5
220,Lemuridae,Hapalemur,Lac_Alaotra_Bamboo_Lemur,1.24
221,Lemuridae,Hapalemur,Golden_Bamboo_Lemur,1.45
222,Lemuridae,Hapalemur,Golden_Bamboo_Lemur,1.58
223,Lemuridae,Hapalemur,Gray_Bamboo_Lemur,0.71
224,Lemuridae,Hapalemur,Gray_Bamboo_Lemur,0.95
225,Lemuridae,Hapalemur,Gray_Bamboo_Lemur,0.81
226,Lemuridae,Hapalemur,Southern_Bamboo_Lemur,1.07
227,Lemuridae,Hapalemur,Southern_Bamboo_Lemur,0.85
228,Lemuridae,Hapalemur,Northern_Bamboo_Lemur,1.013
229,Lemuridae,Hapalemur,Northern_Bamboo_Lemur,0.85
230,Hylobatidae,Hoolock,Western_Hoolock_Gibbon,6.88
231,Hylobatidae,Hoolock,Eastern_Hoolock_Gibbon,7.2
232,Hylobatidae,Hoolock,Skywalker_Hoolock_Gibbon,
233,Hylobatidae,Hylobates,Abbott_s_Gray_Gibbon,5.95
234,Hylobatidae,Hylobates,Agile_Gibbon,6.0
235,Hylobatidae,Hylobates,Bornean_White_bearded_Gibbon,5.95
236,Hylobatidae,Hylobates,East_Bornean_Gray_Gibbon,5.5
237,Hylobatidae,Hylobates,Kloss_s_Gibbon,5.8
238,Hylobatidae,Hylobates,Lar_Gibbon,5.64
239,Hylobatidae,Hylobates,Moloch_Gibbon,6.42
240,Hylobatidae,Hylobates,Müller_s_Gibbon,5.35
241,Hylobatidae,Hylobates,Pileated_Gibbon,5.47
242,Indriidae,Indri,Indri,6.34
243,Indriidae,Indri,Indri,6.59
244,Atelidae,Lagothrix,Gray_Woolly_Monkey,8.31
245,Atelidae,Lagothrix,Peruvian_Yellow_tailed_Woolly_Monkey,7.25
246,Atelidae,Lagothrix,Humboldt_s_Woolly_Monkey,7.15
247,Atelidae,Lagotrix,Colombian_Woolly_Monkey,6.87
248,Atelidae,Lagothrix,Poeppig_s_Woolly_Monkey,7.25
249,Lemuridae,Lemur,Ring_tailed_Lemur,2.21
250,Callitrichidae,Leontocebus,Cruz_Limas_Saddle_back_Tamarin,
251,Callitrichidae,Leontocebus,Spix_s_Saddle_back_Tamarin,0.33
252,Callitrichidae,Leontocebus,Lesson_s_Saddle_back_Tamarin,0.37
253,Callitrichidae,Leontocebus,Illiger_s_Saddle_back_Tamarin,0.29
254,Callitrichidae,Leontocebus,Red_mantled_Saddle_back_Tamarin,0.37
255,Callitrichidae,Leontocebus,Andean_Saddle_back_Tamarin,0.37
256,Callitrichidae,Leontocebus,Black_mantled_tamarin,0.48
