,Family,Genus,CommonName,Territory (ha)
125,Cebidae,Cebus,Santa_Marta_White_fronted_Capuchin,
126,Cebidae,Cebus,Guianan_Weeper_Capuchin,257.0
127,Cebidae,Cebus,Spix_s_White_fronted_Capuchin,
128,Cebidae,Cebus,Varied_White_fronted_Capuchin,
129,Cebidae,Cebus,Marañón_White_fronted_Capuchin,240.0
130,Tarsiidae,Cephalopachus,Western_Tarsier,1.5
131,Tarsiidae,Cephalopachus,Western_Tarsier,8.5
132,Cercopithecidae,Cercocebus,Agile_Mangabey,252.0
134,Cercopithecidae,Cercocebus,Sooty_Mangabey,500.0
135,Cercopithecidae,Cercocebus,Golden_bellied_Mangabey,
136,Cercopithecidae,Cercocebus,Tana_River_Mangabey,59.7
137,Cercopithecidae,Cercocebus,White_naped_Mangabey,200.0
138,Cercopithecidae,Cercocebus,Sanje_River_Mangabey,240.0
139,Cercopithecidae,Cercocebus,Red_capped_Mangabey,247.4
140,Cercopithecidae,Cercopithecus,Syke_s_Monkey,14.25
141,Cercopithecidae,Cercopithecus,Red_tailed_Monkey,22.5
142,Cercopithecidae,Cercopithecus,Campbell_s_Monkey,72.375
143,Cercopithecidae,Cercopithecus,Campbell_s_Monkey,40.0
144,Cercopithecidae,Cercopithecus,Moustached_Monkey,44.5
145,Cercopithecidae,Cercopithecus,Moustached_Monkey,87.5
146,Cercopithecidae,Cercopithecus,Dent_s_Monkey,
148,Cercopithecidae,Cercopithecus,Diana_Monkey,78.0
149,Cercopithecidae,Cercopithecus,Silver_Monkey,28.4
150,Cercopithecidae,Cercopithecus,Dryas_Monkey,4.9
151,Cercopithecidae,Cercopithecus,Red_bellied_Monkey,
152,Cercopithecidae,Cercopithecus,Red_eared_Monkey,31.5
153,Cercopithecidae,Cercopithecus,Owl_faced_Monkey,
154,Cercopithecidae,Cercopithecus,Virungas_Golden_Monkey,67.0
155,Cercopithecidae,Cercopithecus,Lesula,
156,Cercopithecidae,Cercopithecus,Lowe_s_Monkey,14.5
157,Cercopithecidae,Cercopithecus,Lowe_s_Monkey,11.5
158,Cercopithecidae,Cercopithecus,Blue_Monkey,175.0
159,Cercopithecidae,Cercopithecus,Mona_Monkey,3.0
160,Cercopithecidae,Cercopithecus,De_Brazza_s_Monkey,7.0
161,Cercopithecidae,Cercopithecus,Putty_nosed_Monkey,80.25
162,Cercopithecidae,Cercopithecus,Spot_nosed_Monkey,65.0
164,Cercopithecidae,Cercopithecus,Crowned_Monkey,100.0
165,Cercopithecidae,Cercopithecus,Roloway_Monkey,189.0
166,Cercopithecidae,Cercopithecus,Sclater_s_Monkey,25.0
167,Cercopithecidae,Cercopithecus,Wolf_s_Monkey,
168,Cheirogaleidae,Cheirogaleus,Montagne_d_Ambre_Dwarf_Lemur,
169,Cheirogaleidae,Cheirogaleus,Crossley_s_Dwarf_Lemur,
170,Cheirogaleidae,Cheirogaleus,Lavasoa_Dwarf_lemur,
171,Cheirogaleidae,Cheirogaleus,Greater_Dwarf_Lemur,4.0
172,Cheirogaleidae,Cheirogaleus,Greater_Dwarf_Lemur,2.0
173,Cheirogaleidae,Cheirogaleus,Fat_tailed_Dwarf_Lemur,1.56
174,Cheirogaleidae,Cheirogaleus,Lesser_Iron_gray_Dwarf_Lemur,
175,Cheirogaleidae,Cheirogaleus, Sheth's_Dwarf_Lemur,
176,Cheirogaleidae,Cheirogaleus,Sibree_s_Dwarf_Lemur,6.4
177,Cheirogaleidae,Cheirogaleus,Thomas_s_Dwarf_Lemur,
178,Pitheciidae,Cheracebus,Yellow_handed_Titi,20.0
179,Pitheciidae,Cheracebus,White_chested_Titi,14.2
180,Pitheciidae,Cheracebus,Medem_s_Titi,
181,Pitheciidae,Cheracebus,Rio_Purus_Titi,45.0
182,Pitheciidae,Cheracebus,Rio_Juruá_Collared_Titi,
183,Pitheciidae,Cheracebus,White_collared_Titi,20.0
184,Pitheciidae,Cheracebus,White_collared_Titi,22.25
185,Pitheciidae,Chiropotes,White_nosed_Bearded_Saki,210.0
186,Pitheciidae,Chiropotes,White_nosed_Bearded_Saki,1000.0
187,Pitheciidae,Chiropotes,Rio_Negro_Beared_Saki,142.0
188,Pitheciidae,Chiropotes, Brown_backed_Bearded_Saki,
189,Pitheciidae,Chiropotes,Guianan_Beared_Saki,507.0
190,Pitheciidae,Chiropotes,Black_Bearded_Saki,58.0
191,Pitheciidae,Chiropotes,Uta_Hick_s_Bearded_Saki,100.0
192,Pitheciidae,Chiropotes,Uta_Hick_s_Bearded_Saki,57.5
193,Cercopithecidae,Chlorocebus,Grivet_Monkey,54.0
198,Cercopithecidae,Chlorocebus,Malbrouck_Monkey,
199,Cercopithecidae,Chlorocebus,Bale_Monkey,15.2
200,Cercopithecidae,Chlorocebus,Vervet_Monkey,25.0
201,Cercopithecidae,Chlorocebus,Green_Monkey,160.5
202,Cercopithecidae,Chlorocebus,Tantalus_Monkey,66.5
203,Cercopithecidae,Colobus,Angolan_Colobus,1406.0
205,Cercopithecidae,Colobus,Guereza,22.0
207,Cercopithecidae,Colobus,King_Colobus,40.5
208,Cercopithecidae,Colobus,King_Colobus,77.4
209,Cercopithecidae,Colobus,Black_Colobus,573.0
210,Cercopithecidae,Colobus,White_thighed_Colobus,48.0
211,Daubentoniidae,Daubentonia,Aye_aye,102.95
212,Cercopithecidae,Erythrocebus,Patas_Monkey,2851.0
213,Cercopithecidae,Erythrocebus,Patas_Monkey,5200.0
214,Cercopithecidae,Erythrocebus,Heuglin's_Patas_Monkey,
215,Lemuridae,Eulemur,White_fronted_Brown_Lemur,10.0
217,Lemuridae,Eulemur,White_collared_Brown_Lemur,56.65
218,Lemuridae,Eulemur,White_collared_Brown_Lemur,49.4
219,Lemuridae,Eulemur,Red_collared_Brown_Lemur,58.65
220,Lemuridae,Eulemur,Red_collared_Brown_Lemur,74.6
221,Lemuridae,Eulemur,Crowned_Lemur,7.53
222,Lemuridae,Eulemur,Crowned_Lemur,5.0
223,Lemuridae,Eulemur,Blue_eyed_Black_Lemur,5.28
224,Lemuridae,Eulemur,Brown_Lemur,16.2
