,Family,Genus,CommonName,Status
183,Hylobatidae,Hoolock,Eastern_Hoolock_Gibbon,VU
184,Hylobatidae,Hoolock,Skywalker_Hoolock_Gibbon,
185,Hylobatidae,Hylobates,Abbott_s_Gray_Gibbon,EN
186,Hylobatidae,Hylobates,Agile_Gibbon,EN
187,Hylobatidae,Hylobates,Bornean_White_bearded_Gibbon,EN
188,Hylobatidae,Hylobates,East_Bornean_Gray_Gibbon,EN
189,Hylobatidae,Hylobates,Kloss_s_Gibbon,EN
190,Hylobatidae,Hylobates,Lar_Gibbon,EN
191,Hylobatidae,Hylobates,Moloch_Gibbon,EN
192,Hylobatidae,Hylobates,Müller_s_Gibbon,EN
193,Hylobatidae,Hylobates,Pileated_Gibbon,EN
194,Indriidae,Indri,Indri,CR
195,Atelidae,Lagothrix,Gray_Woolly_Monkey,EN
196,Atelidae,Lagothrix,Peruvian_Yellow_tailed_Woolly_Monkey,CR
197,Atelidae,Lagothrix,Humboldt_s_Woolly_Monkey,VU
198,Atelidae,Lagotrix,Colombian_Woolly_Monkey,CR
199,Atelidae,Lagothrix,Poeppig_s_Woolly_Monkey,VU
200,Lemuridae,Lemur,Ring_tailed_Lemur,EN
201,Callitrichidae,Leontocebus,Cruz_Limas_Saddle_back_Tamarin,LC
202,Callitrichidae,Leontocebus,Spix_s_Saddle_back_Tamarin,LC
203,Callitrichidae,Leontocebus,Lesson_s_Saddle_back_Tamarin,LC
204,Callitrichidae,Leontocebus,Illiger_s_Saddle_back_Tamarin,LC
205,Callitrichidae,Leontocebus,Red_mantled_Saddle_back_Tamarin,LC
206,Callitrichidae,Leontocebus,Andean_Saddle_back_Tamarin,LC
207,Callitrichidae,Leontocebus,Black_mantled_tamarin,LC
208,Callitrichidae,Leontocebus,Geoffroy_s_Saddle_back_Tamarin,LC
209,Callitrichidae,Leontocebus,Golden_mantled_Saddle_back_Tamarin,NT
210,Callitrichidae,Leontocebus,Weddells_Saddle_back_Tamarin,LC
211,Callitrichidae,Leontopithecus,Black_faced_Lion_Tamarin,CR
212,Callitrichidae,Leontopithecus,Golden_headed_Lion_Tamarin,EN
213,Callitrichidae,Leontopithecus,Black_Lion_Tamarin,EN
214,Callitrichidae,Leontopithecus,Golden_Lion_Tamarin,EN
215,Lepilemuridae,Lepilemur,Antafia_Sportive_Lemur,VU
216,Lepilemuridae,Lepilemur,Tsiombikibo_Sportive_Lemur,EN
217,Lepilemuridae,Lepilemur,Ankarana_Sportive_Lemur,EN
218,Lepilemuridae,Lepilemur,Betsileo_Sportive_Lemur,EN
219,Lepilemuridae,Lepilemur,Gray_s_Sportive_Lemur,VU
220,Lepilemuridae,Lepilemur,Milne_Edwards_s_Sportive_Lemur,EN
221,Lepilemuridae,Lepilemur,Andohahela_Sportive_Lemur,CR
222,Lepilemuridae,Lepilemur,Anjiamangirana_Sportive_Lemur,EN
223,Lepilemuridae,Lepilemur,Mananara_Nord_Sportive_Lemur,EN
224,Lepilemuridae,Lepilemur,Zombitse_Sportive_Lemur,EN
225,Lepilemuridae,Lepilemur,Manombo_Sportive_Lemur,CR
226,Lepilemuridae,Lepilemur,White_footed_Sportive_Lemur,EN
227,Lepilemuridae,Lepilemur,Small_toothed_Sportive_Lemur,EN
228,Lepilemuridae,Lepilemur,Daraina_Sportive_Lemur,EN
