,Family,Genus,CommonName,Status
419,Cercopithecidae,Presbytis,Hose_s_Langur,VU
420,Cercopithecidae,Presbytis,Black_crested_Sumatran_Langur,EN
421,Cercopithecidae,Presbytis,Mitered_Langur,EN
422,Cercopithecidae,Presbytis,Natuna_Islands_Langur,VU
423,Cercopithecidae,Presbytis,Mentawai_Langur,EN
424,Cercopithecidae,Presbytis,Maroon_Langur,LC
425,Cercopithecidae,Presbytis,Sabah_Grizzled_Langur,EN
426,Cercopithecidae,Presbytis,Pale_thighed_Langur,NT
427,Cercopithecidae,Presbytis,Siberut_Langur,EN
428,Cercopithecidae,Presbytis,Black_Sumatran_Langur,EN
429,Cercopithecidae,Presbytis,Thomas_s_Langur,VU
430,Cercopithecidae,Procolobus,Olive_Colobus,NT
431,Lemuridae,Prolemur,Greater_Bamboo_Lemur,CR
432,Indriidae,Propithecus,Silky_Sifaka,CR
433,Indriidae,Propithecus,Coquerel_s_Sifaka,EN
434,Indriidae,Propithecus,Crowned_Sifaka,EN
435,Indriidae,Propithecus,Decken_s_Sifaka,EN
436,Indriidae,Propithecus,Diademed_Sifaka,CR
437,Indriidae,Propithecus,Milne_Edwards_s_Sifaka,EN
438,Indriidae,Propithecus,Perrier_s_Sifaka,CR
439,Indriidae,Propithecus,Tattersall_s_Sifaka,CR
440,Indriidae,Propithecus,Verreaux_s_Sifaka,EN
441,Cercopithecidae,Pygathrix,Grey_shanked_Douc,CR
442,Cercopithecidae,Pygathrix,Red_shanked_Douc,EN
443,Cercopithecidae,Pygathrix,Black_shanked_Douc,EN
444,Cercopithecidae,Rhinopithecus,Tonkin_Snub_nosed_Monkey,CR
445,Cercopithecidae,Rhinopithecus,Yunnan_Snub_nosed_Monkey,EN
446,Cercopithecidae,Rhinopithecus,Guizhou_Snub_nosed_Monkey,EN
447,Cercopithecidae,Rhinopithecus,Golden_Snub_nosed_Monkey,EN
448,Cercopithecidae,Rhinopithecus,Stryker_s_Snub_nosed_Monkey,CR
449,Cercopithecidae,Rungwecebus,Kipunji,CR
450,Callitrichidae,Saguinus,Pied_Tamarin,EN
451,Callitrichidae,Saguinus,Geoffroy_s_Tamarin,LC
452,Callitrichidae,Saguinus,Emperor_Tamarin,LC
453,Callitrichidae,Saguinus,Mottled_face_Tamarin,LC
454,Callitrichidae,Saguinus,Red_bellied_Tamarin,LC
455,Callitrichidae,Saguinus,White_footed_Tamarin,EN
456,Callitrichidae,Saguinus,Martin_s_Bare_faced_Tamarin,LC
457,Callitrichidae,Saguinus,Midas_Tamarin,LC
458,Callitrichidae,Saguinus,Mustached_Tamarin,LC
459,Callitrichidae,Saguinus,Western_Black_handed_Tamarin,VU
460,Callitrichidae,Saguinus,Cotton_top_Tamarin,CR
461,Callitrichidae,Saguinus,Eastern_Black_handed_Tamarin,NE
462,Cebidae,Saimiri,Black_capped_Squirrel_Monkey,LC
463,Cebidae,Saimiri,Humboldt_s_Squirrel_Monkey,LC
464,Cebidae,Saimiri,Collins'_Squirrel_Monkey,
465,Cebidae,Saimiri,Ecuadorian_Squirrel_Monkey,LC
466,Cebidae,Saimiri,Central_American_Squirrel_Monkey,VU
467,Cebidae,Saimiri,Guianan_Squirrel_Monkey,LC
468,Cebidae,Saimiri,Golden_backed_Squirrel_Monkey,NT
469,Cebidae,Saimiri,Black_headed_Squirrel_Monkey,VU
470,Cebidae,Sapajus,Guianan_Brown_Capuchin,LC
471,Cebidae,Sapajus,Hooded_Capuchin,LC
472,Cebidae,Sapajus,Blond_Capuchin,CR
473,Cebidae,Sapajus,Bearded_Capuchin,LC
474,Cebidae,Sapajus,Large_headed_Capuchin,LC
475,Cebidae,Sapajus,Black_horned_Capuchin,NT
476,Cebidae,Sapajus,Crested_Capuchin,EN
477,Cebidae,Sapajus,Yellow_breasted_Capuchin,CR
478,Galagidae,Sciurocheirus,Bioko_Squirrel_Galago,EN
479,Galagidae,Sciurocheirus,Cross_River_Squirrel_Galago,LC
480,Galagidae,Sciurocheirus,Gabon_Squirrel_Galago,LC
481,Galagidae,Sciurocheirus,Makandé_squirrel_galago,NE
482,Cercopithecidae,Semnopithecus,Chamba_Sacred_Langur,EN
483,Cercopithecidae,Semnopithecus,Bengal_Sacred_Langur,LC
484,Cercopithecidae,Semnopithecus,Terai_Sacred_Langur,NT
485,Cercopithecidae,Semnopithecus,Malabar_Sacred_Langur,VU
486,Cercopithecidae,Semnopithecus,Nilgiri_Langur,VU
487,Cercopithecidae,Semnopithecus,Tufted_Gray_Langur,NT
488,Cercopithecidae,Semnopithecus,Nepal_Sacred_Langur,LC
489,Cercopithecidae,Semnopithecus,Purple_faced_Langur,EN
490,Cercopithecidae,Simias,Pig_tailed_Langur,CR
491,Hylobatidae,Symphalangus,Siamang,EN
492,Tarsiidae,Tarsius,Dian_s_Tarsier,VU
493,Tarsiidae,Tarsius,Makassar_Tarsier,NE
494,Tarsiidae,Tarsius,Lariang_Tarsier,DD
495,Tarsiidae,Tarsius,Peleng_Tarsier,EN
496,Tarsiidae,Tarsius,Sulawesi_Mountain_Tarsier,DD
497,Tarsiidae,Tarsius,Great_Sangihe_Tarsier,EN
498,Tarsiidae,Tarsius,Gursky's_Spectral_Tarsier ,
499,Tarsiidae,Tarsius,Jatna's_Tarsier,
500,Tarsiidae,Tarsius,Selayar_Tarsier,VU
501,Tarsiidae,Tarsius,Siau_Island_Tarsier,CR
502,Tarsiidae,Tarsius,Wallace_s_Tarsier,DD
503,Cercopithecidae,Theropithecus,Gelada,LC
504,Cercopithecidae,Trachypithecus,East_Javan_Langur,VU
505,Cercopithecidae,Trachypithecus,Tenasserim_Langur,DD
506,Cercopithecidae,Trachypithecus,Indochinese_Gray_Langur,EN
507,Cercopithecidae,Trachypithecus,Silvered_Langur,NT
508,Cercopithecidae,Trachypithecus,Delacour_s_Langur,CR
509,Cercopithecidae,Trachypithecus,Black_Langur,EN
510,Cercopithecidae,Trachypithecus,Francois_s_Langur,EN
511,Cercopithecidae,Trachypithecus,Golden_Langur,EN
512,Cercopithecidae,Trachypithecus,Germain_s_Langur,EN
513,Cercopithecidae,Trachypithecus,Hatinh_Langur,EN
514,Cercopithecidae,Trachypithecus,Laos_Langur,VU
515,Cercopithecidae,Trachypithecus,White_headed_Langur,CR
516,Cercopithecidae,Trachypithecus,Annamese_Langur,EN
517,Cercopithecidae,Trachypithecus,West_Javan_Langur,VU
518,Cercopithecidae,Trachypithecus,Dusky_Langur,NT
519,Cercopithecidae,Trachypithecus,Phayre_s_Langur,EN
520,Cercopithecidae,Trachypithecus,Capped_Langur,VU
521,Cercopithecidae,Trachypithecus,Cat_Ba_Langur,CR
522,Cercopithecidae,Trachypithecus,Selangor_Silvery_Langur,NE
523,Cercopithecidae,Trachypithecus,Shortridge_s_Langur,EN
524,Lemuridae,Varecia,Red_Ruffed_Lemur,CR
525,Lemuridae,Varecia,Black_and_white_Ruffed_Lemur,CR
