;CommonName;TrophicGuild;Fruit;Leaves;Flowers;Seeds;Animal;Gums;Nectar;Other;Country
193;Golden_Bamboo_Lemur;Folivore;4;91;NI;NI;NI;NI;NI;5;Madagascar
194;Gray_Bamboo_Lemur;Folivore;5;92;NI;NI;NI;NI;NI;3;Madagascar
195;Southern_Bamboo_Lemur;Folivore;18.58;43.03;12.78;NI;NI;NI;NI;25.61;Madagascar
196;Northern_Bamboo_Lemur;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
197;Western_Hoolock_Gibbon;Frugivore;62;27;4;2;NI;NI;NI;5;NI
198;Eastern_Hoolock_Gibbon;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
201;Skywalker_Hoolock_Gibbon;Non-observed;;;;;;;;;China
202;Abbott_s_Gray_Gibbon;Omnivore;1;1;;1;1;;;1;China
203;Agile_Gibbon;Frugivore;53;24;16;3;NI;NI;NI;4;Indonesia
204;Bornean_White_bearded_Gibbon;Frugivore;69;25;5;NI;1;NI;NI;NI;NI
205;East_Bornean_Gray_Gibbon;Frugivore;57.5;23.8;12.1;4.5;0.8;NI;1.3;NI;NI
206;Kloss_s_Gibbon;Frugivore;72;2;NI;NI;25;NI;NI;1;Indonesia
207;Lar_Gibbon;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
208;Moloch_Gibbon;Frugivore;61;38;1;NI;NI;NI;NI;NI;NI
209;Müller_s_Gibbon;Frugivore;62;32;7;NI;NI;NI;NI;NI;NI
210;Pileated_Gibbon;Frugivore;71;13;NI;NI;15;NI;NI;NI;NI
211;Indri;Folivore;25;50-75;NI;10;NI;NI;NI;NI;NI
212;Gray_Woolly_Monkey;Frugivore;91.5;7.6;0.9;NI;NI;NI;NI;NI;Brazil
213;Peruvian_Yellow_tailed_Woolly_Monkey;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;Peru
214;Humboldt_s_Woolly_Monkey;Frugivore;78.9;11.4;0.1;4.3;4.9;NI;NI;0.4;Colombia
215;Colombian_Woolly_Monkey;Frugivore;1;1;1;1;;;;;Colombia
216;Poeppig_s_Woolly_Monkey;Frugivore;77;7.44;3.51;0.54;9.3;1.5;NI;0.71;Ecuador
217;Ring_tailed_Lemur;Folivore_frugivore;34-59;30-58;06-ago;NI;NI;0-5;NI;NI;NI
218;Cruz_Limas_Saddle_back_Tamarin;Omnivore;1;1;1;;1;;1;;Brazil
219;Spix_s_Saddle_back_Tamarin;Omnivore;35.1;NI;NI;NI;47.7;8;5;3.9;Peru
222;Lesson_s_Saddle_back_Tamarin;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
223;Illiger_s_Saddle_back_Tamarin;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;Peru
224;Red_mantled_Saddle_back_Tamarin;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
225;Andean_Saddle_back_Tamarin;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
226;Black_mantled_tamarin;Omnivore;80;NI;NI;NI;NI;NI;NI;NI;Ecuador
227;Geoffroy_s_Saddle_back_Tamarin;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
228;Golden_mantled_Saddle_back_Tamarin;Omnivore;NI;NI;NI;62;21;12;1;4;NI
230;Weddells_Saddle_back_Tamarin;Omnivore;49;NI;NI;NI;26;12;7;6;NI
