,Family,Genus,CommonName,Diet
158,Lemuridae,Eulemur,White_collared_Brown_Lemur,Frugivore
159,Lemuridae,Eulemur,Red_collared_Brown_Lemur,Frugivore
160,Lemuridae,Eulemur,Crowned_Lemur,Frugivore
161,Lemuridae,Eulemur,Blue_eyed_Black_Lemur,Folivore_frugivore
162,Lemuridae,Eulemur,Brown_Lemur,Folivore_frugivore
163,Lemuridae,Eulemur,Black_Lemur,Frugivore
164,Lemuridae,Eulemur,Mongoose_Lemur,Folivore_frugivore
165,Lemuridae,Eulemur,Red_bellied_Lemur,Folivore_frugivore
166,Lemuridae,Eulemur,Red_bellied_Lemur,Frugivore
167,Lemuridae,Eulemur,Red_bellied_Lemur,Frugivore
168,Lemuridae,Eulemur,Red_bellied_Lemur,Frugivore
169,Lemuridae,Eulemur,Red_fronted_Brown_Lemur,Folivore_frugivore
170,Lemuridae,Eulemur,Rufous_Brown_Lemur,Frugivore
171,Lemuridae,Eulemur,Rufous_Brown_Lemur,Frugivore
172,Lemuridae,Eulemur,Sanford_s_Brown_Lemur,Frugivore
173,Galagidae,Euoticus,Southern_Needle_clawed_Galago,Gummivore
174,Galagidae,Euoticus,Northern_Needle_clawed_Galago,Gummivore
175,Galagidae,Galago,Somali_Lesser_Galago,Omnivore
176,Galagidae,Galago,Spectacled_Lesser_Galago,Omnivore
177,Galagidae,Galago,Southern_Lesser_Galago,Omnivore
178,Galagidae,Galago,Northern_Lesser_Galago,Omnivore
179,Galagidae,Galagoides,Kenya_Coast_Dwarf_Galago,Omnivore
180,Galagidae,Galagoides,Demidoff_s_Dwarf_Galago,Omnivore
181,Galagidae,Galagoides,Mozambique_Dwarf_Galago,Omnivore
182,Galagidae,Galagoides,Mountain_Dwarf_Galago,Omnivore
183,Galagidae,Galagoides,Rondo_Dwarf_Galago,Omnivore
184,Galagidae,Galagoides,Angolan_Dwarf_Galago,
185,Galagidae,Galagoides,Thomas_s_Dwarf_Galago,Omnivore
186,Galagidae,Galagoides,Thomas_s_Dwarf_Galago,Omnivore
187,Galagidae,Galagoides,Tanzania_Coast_Dwarf_Galago,Omnivore
188,Galagidae,Galagoides,Tanzania_Coast_Dwarf_Galago,Omnivore
189,Galagidae,Galagoides,Tanzania_Coast_Dwarf_Galago,Omnivore
190,Hominidae,Gorilla,Eastern_Gorilla,Folivore_frugivore
191,Hominidae,Gorilla,Western_Gorilla,Folivore_frugivore
192,Lemuridae,Hapalemur,Lac_Alaotra_Bamboo_Lemur,Folivore
193,Lemuridae,Hapalemur,Golden_Bamboo_Lemur,Folivore
194,Lemuridae,Hapalemur,Gray_Bamboo_Lemur,Folivore
195,Lemuridae,Hapalemur,Southern_Bamboo_Lemur,Folivore
196,Lemuridae,Hapalemur,Northern_Bamboo_Lemur,Folivore_frugivore
197,Hylobatidae,Hoolock,Western_Hoolock_Gibbon,Frugivore
198,Hylobatidae,Hoolock,Eastern_Hoolock_Gibbon,Frugivore
199,Hylobatidae,Hoolock,Eastern_Hoolock_Gibbon,Folivore_frugivore
200,Hylobatidae,Hoolock,Eastern_Hoolock_Gibbon,Frugivore
201,Hylobatidae,Hoolock,Skywalker_Hoolock_Gibbon,
202,Hylobatidae,Hylobates,Abbott_s_Gray_Gibbon,
203,Hylobatidae,Hylobates,Agile_Gibbon,Frugivore
204,Hylobatidae,Hylobates,Bornean_White_bearded_Gibbon,Frugivore
205,Hylobatidae,Hylobates,East_Bornean_Gray_Gibbon,Frugivore
206,Hylobatidae,Hylobates,Kloss_s_Gibbon,Frugivore
207,Hylobatidae,Hylobates,Lar_Gibbon,Frugivore
208,Hylobatidae,Hylobates,Moloch_Gibbon,Frugivore
